area_code,area,com_code,item,source_code,source,unit,cf,cf_type,description,literature
1,Armenia,c01,"Industrial roundwood, coniferous",,,tC/m3,0.2079065,cf_wdensity,carbon conversion factor per air dry volumen,
2,Afghanistan,c01,"Industrial roundwood, coniferous",,,tC/m3,0.2079065,cf_wdensity,carbon conversion factor per air dry volumen,
3,Albania,c01,"Industrial roundwood, coniferous",,,tC/m3,0.210117119444445,cf_wdensity,carbon conversion factor per air dry volumen,
4,Algeria,c01,"Industrial roundwood, coniferous",,,tC/m3,0.21804,cf_wdensity,carbon conversion factor per air dry volumen,
5,American Samoa,c01,"Industrial roundwood, coniferous",,,tC/m3,0.2165,cf_wdensity,carbon conversion factor per air dry volumen,
6,Andorra,c01,"Industrial roundwood, coniferous",,,tC/m3,0.210117119444445,cf_wdensity,carbon conversion factor per air dry volumen,
7,Angola,c01,"Industrial roundwood, coniferous",,,tC/m3,0.21804,cf_wdensity,carbon conversion factor per air dry volumen,
8,Antigua and Barbuda,c01,"Industrial roundwood, coniferous",,,tC/m3,0.2063225,cf_wdensity,carbon conversion factor per air dry volumen,
9,Argentina,c01,"Industrial roundwood, coniferous",,,tC/m3,0.2063225,cf_wdensity,carbon conversion factor per air dry volumen,
10,Australia,c01,"Industrial roundwood, coniferous",,,tC/m3,0.2165,cf_wdensity,carbon conversion factor per air dry volumen,
11,Austria,c01,"Industrial roundwood, coniferous",,,tC/m3,0.210117119444445,cf_wdensity,carbon conversion factor per air dry volumen,
12,Bahamas,c01,"Industrial roundwood, coniferous",,,tC/m3,0.2063225,cf_wdensity,carbon conversion factor per air dry volumen,
13,Bahrain,c01,"Industrial roundwood, coniferous",,,tC/m3,0.2079065,cf_wdensity,carbon conversion factor per air dry volumen,
14,Barbados,c01,"Industrial roundwood, coniferous",,,tC/m3,0.2063225,cf_wdensity,carbon conversion factor per air dry volumen,
15,Belgium-Luxembourg,c01,"Industrial roundwood, coniferous",,,tC/m3,0.210117119444445,cf_wdensity,carbon conversion factor per air dry volumen,
16,Bangladesh,c01,"Industrial roundwood, coniferous",,,tC/m3,0.2079065,cf_wdensity,carbon conversion factor per air dry volumen,
17,Bermuda,c01,"Industrial roundwood, coniferous",,,tC/m3,0.2063225,cf_wdensity,carbon conversion factor per air dry volumen,
18,Bhutan,c01,"Industrial roundwood, coniferous",,,tC/m3,0.2079065,cf_wdensity,carbon conversion factor per air dry volumen,
19,Bolivia (Plurinational State of),c01,"Industrial roundwood, coniferous",,,tC/m3,0.2063225,cf_wdensity,carbon conversion factor per air dry volumen,
20,Botswana,c01,"Industrial roundwood, coniferous",,,tC/m3,0.21804,cf_wdensity,carbon conversion factor per air dry volumen,
21,Brazil,c01,"Industrial roundwood, coniferous",,,tC/m3,0.19705,cf_wdensity,carbon conversion factor per air dry volumen,
22,Aruba,c01,"Industrial roundwood, coniferous",,,tC/m3,0.2063225,cf_wdensity,carbon conversion factor per air dry volumen,
23,Belize,c01,"Industrial roundwood, coniferous",,,tC/m3,0.2063225,cf_wdensity,carbon conversion factor per air dry volumen,
24,British Indian Ocean Territory,c01,"Industrial roundwood, coniferous",,,tC/m3,0.2079065,cf_wdensity,carbon conversion factor per air dry volumen,
25,Solomon Islands,c01,"Industrial roundwood, coniferous",,,tC/m3,0.2165,cf_wdensity,carbon conversion factor per air dry volumen,
26,Brunei Darussalam,c01,"Industrial roundwood, coniferous",,,tC/m3,0.2079065,cf_wdensity,carbon conversion factor per air dry volumen,
27,Bulgaria,c01,"Industrial roundwood, coniferous",,,tC/m3,0.210117119444445,cf_wdensity,carbon conversion factor per air dry volumen,
28,Myanmar,c01,"Industrial roundwood, coniferous",,,tC/m3,0.2079065,cf_wdensity,carbon conversion factor per air dry volumen,
29,Burundi,c01,"Industrial roundwood, coniferous",,,tC/m3,0.21804,cf_wdensity,carbon conversion factor per air dry volumen,
32,Cameroon,c01,"Industrial roundwood, coniferous",,,tC/m3,0.21804,cf_wdensity,carbon conversion factor per air dry volumen,
33,Canada,c01,"Industrial roundwood, coniferous",,,tC/m3,0.22473295,cf_wdensity,carbon conversion factor per air dry volumen,
35,Cabo Verde,c01,"Industrial roundwood, coniferous",,,tC/m3,0.21804,cf_wdensity,carbon conversion factor per air dry volumen,
36,Cayman Islands,c01,"Industrial roundwood, coniferous",,,tC/m3,0.2063225,cf_wdensity,carbon conversion factor per air dry volumen,
37,Central African Republic,c01,"Industrial roundwood, coniferous",,,tC/m3,0.21804,cf_wdensity,carbon conversion factor per air dry volumen,
38,Sri Lanka,c01,"Industrial roundwood, coniferous",,,tC/m3,0.2079065,cf_wdensity,carbon conversion factor per air dry volumen,
39,Chad,c01,"Industrial roundwood, coniferous",,,tC/m3,0.21804,cf_wdensity,carbon conversion factor per air dry volumen,
40,Chile,c01,"Industrial roundwood, coniferous",,,tC/m3,0.2025,cf_wdensity,carbon conversion factor per air dry volumen,
41,"China, mainland",c01,"Industrial roundwood, coniferous",,,tC/m3,0.208313,cf_wdensity,carbon conversion factor per air dry volumen,
42,Christmas Island,c01,"Industrial roundwood, coniferous",,,tC/m3,0.2165,cf_wdensity,carbon conversion factor per air dry volumen,
43,Cocos (Keeling) Islands,c01,"Industrial roundwood, coniferous",,,tC/m3,0.2165,cf_wdensity,carbon conversion factor per air dry volumen,
44,Colombia,c01,"Industrial roundwood, coniferous",,,tC/m3,0.2063225,cf_wdensity,carbon conversion factor per air dry volumen,
45,Comoros,c01,"Industrial roundwood, coniferous",,,tC/m3,0.21804,cf_wdensity,carbon conversion factor per air dry volumen,
46,Congo,c01,"Industrial roundwood, coniferous",,,tC/m3,0.21804,cf_wdensity,carbon conversion factor per air dry volumen,
47,Cook Islands,c01,"Industrial roundwood, coniferous",,,tC/m3,0.2165,cf_wdensity,carbon conversion factor per air dry volumen,
