com_code,item,baci_code,conversion_factor,version92,version12,unit,unit_fao
c03,Wood fuel,440110,1,92,92,tonnes,m3
c09,Particle board,441010,swe,92,,tonnes,m3
c09,Particle board,441011,swe,,12,tonnes,m3
c10,OSB,441012,swe,,12,tonnes,m3
c10,OSB,441019,swe,,12,tonnes,m3
c11a,Chemical wood pulp,470311,1,92,92,tonnes,tonnes
c11a,Chemical wood pulp,470319,1,92,92,tonnes,tonnes
c11a,Chemical wood pulp,470321,1,92,92,tonnes,tonnes
c11a,Chemical wood pulp,470329,1,92,92,tonnes,tonnes
c11a,Chemical wood pulp,470411,1,92,92,tonnes,tonnes
c11a,Chemical wood pulp,470419,1,92,92,tonnes,tonnes
c11a,Chemical wood pulp,470421,1,92,92,tonnes,tonnes
c11a,Chemical wood pulp,470429,1,92,92,tonnes,tonnes
c11b,Mechanical and semi-chemical wood pulp,470100,1,92,92,tonnes,tonnes
c11b,Mechanical and semi-chemical wood pulp,470500,1,92,92,tonnes,tonnes
c11c,Pulp from fibres other than wood,470610,1,92,92,tonnes,tonnes
c11c,Pulp from fibres other than wood,470630,1,,12,tonnes,tonnes
c11c,Pulp from fibres other than wood,470691,1,92,92,tonnes,tonnes
c11c,Pulp from fibres other than wood,470692,1,92,92,tonnes,tonnes
c11c,Pulp from fibres other than wood,470693,1,92,92,tonnes,tonnes
c11d,Dissolving wood pulp,470200,1,,12,tonnes,tonnes
c12,Recovered paper,470710,1,92,92,tonnes,tonnes
c12,Recovered paper,470720,1,92,92,tonnes,tonnes
c12,Recovered paper,470730,1,92,92,tonnes,tonnes
c12,Recovered paper,470790,1,92,92,tonnes,tonnes
c13,Recovered fibre pulp,470620,1,,12,tonnes,tonnes
c15,Wood pellets and other agglomerates,440131,1,,12,tonnes,tonnes
c16,Wood charcoal,440200,1,92,,tonnes,tonnes
c16,Wood charcoal,440290,1,,12,tonnes,tonnes
c18,Wood residues,440130,1,92,,tonnes,m3
c18,Wood residues,440139,1,,12,tonnes,m3
