com_code,item_name,item_code,trade_code,unit
c01,"Industrial roundwood, coniferous",1866,1651,m3
c02,"Industrial roundwood, non-coniferous",1867,1670,m3
c02,"Industrial roundwood, non-coniferous",1867,1657,m3
c04,"Sawnwood, coniferous",1632,1632,m3
c05,"Sawnwood, non-coniferous all",1633,1633,m3
c06,Veneer sheets,1634,1634,m3
c07,Plywood,1640,1640,m3
c08,Fibreboard,1874,1874,m3
c11,Wood pulp,1875,1875,tonnes
c14,Paper and paperboard,1876,1671,tonnes
c14,"Paper and paperboard",1876,1860,tonnes
c17,Wood chips and particles,1619,1619,m3
