area_code;area;proc_code;process;subproc_code;subprocess;product;chips,peeler_cores;sanding_dust;shrinkage;literature
1;Armenia;p06;Veneer production;p06_c;Veneer production, coniferous;NA;NA;NA;NA;NA
2;Afghanistan;p06;Veneer production;p06_c;Veneer production, coniferous;NA;NA;NA;NA;NA
3;Albania;p06;Veneer production;p06_c;Veneer production, coniferous;NA;NA;NA;NA;NA
4;Algeria;p06;Veneer production;p06_c;Veneer production, coniferous;NA;NA;NA;NA;NA
6;Andorra;p06;Veneer production;p06_c;Veneer production, coniferous;NA;NA;NA;NA;NA
7;Angola;p06;Veneer production;p06_c;Veneer production, coniferous;NA;NA;NA;NA;NA
9;Argentina;p06;Veneer production;p06_c;Veneer production, coniferous;NA;NA;NA;NA;NA
10;Australia;p06;Veneer production;p06_c;Veneer production, coniferous;NA;NA;NA;NA;NA
11;Austria;p06;Veneer production;p06_c;Veneer production, coniferous;NA;NA;NA;NA;NA
12;Bahamas;p06;Veneer production;p06_c;Veneer production, coniferous;NA;NA;NA;NA;NA
13;Bahrain;p06;Veneer production;p06_c;Veneer production, coniferous;NA;NA;NA;NA;NA
14;Barbados;p06;Veneer production;p06_c;Veneer production, coniferous;NA;NA;NA;NA;NA
15;Belgium-Luxembourg;p06;Veneer production;p06_c;Veneer production, coniferous;NA;NA;NA;NA;NA
16;Bangladesh;p06;Veneer production;p06_c;Veneer production, coniferous;NA;NA;NA;NA;NA
18;Bhutan;p06;Veneer production;p06_c;Veneer production, coniferous;NA;NA;NA;NA;NA
19;Bolivia (Plurinational State of);p06;Veneer production;p06_c;Veneer production, coniferous;NA;NA;NA;NA;NA
20;Botswana;p06;Veneer production;p06_c;Veneer production, coniferous;NA;NA;NA;NA;NA
21;Brazil;p06;Veneer production;p06_c;Veneer production, coniferous;NA;NA;NA;NA;NA
22;Aruba;p06;Veneer production;p06_c;Veneer production, coniferous;NA;NA;NA;NA;NA
23;Belize;p06;Veneer production;p06_c;Veneer production, coniferous;NA;NA;NA;NA;NA
