area_code,area,com_code,item,subcom_code,subitem,source_code,source,unit,cf,cf_type,description,literature
1,Armenia,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
2,Afghanistan,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
3,Albania,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
4,Algeria,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
6,Andorra,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
7,Angola,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
9,Argentina,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
10,Australia,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
11,Austria,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,1.66,cf_use,"","FAO, ITTO and United Nations (2020)"
12,Bahamas,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
13,Bahrain,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
14,Barbados,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
15,Belgium-Luxembourg,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
16,Bangladesh,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
18,Bhutan,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
19,Bolivia (Plurinational State of),c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
20,Botswana,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
21,Brazil,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,2.22,cf_use,"","FAO, ITTO and United Nations (2020)"
22,Aruba,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
23,Belize,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
25,Solomon Islands,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
26,Brunei Darussalam,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
27,Bulgaria,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
28,Myanmar,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
29,Burundi,c04,"Sawnwood, coniferous","","",c01,"Industrial roundwood, coniferous",m3rw/m3p,,cf_use,"",
