com_code,tcf_type,continent,area_code,area,item,unit,tcf
c03,tcf_density,AFR,4,Algeria,Wood fuel,kg/m3sw,629.47832962963
c03,tcf_density,AFR,7,Angola,Wood fuel,kg/m3sw,629.47832962963
c03,tcf_density,AFR,20,Botswana,Wood fuel,kg/m3sw,629.47832962963
c03,tcf_density,AFR,29,Burundi,Wood fuel,kg/m3sw,629.47832962963
c03,tcf_density,AFR,32,Cameroon,Wood fuel,kg/m3sw,629.47832962963
c03,tcf_density,AFR,35,Cabo Verde,Wood fuel,kg/m3sw,629.47832962963
c03,tcf_density,AFR,37,Central African Republic,Wood fuel,kg/m3sw,629.47832962963
c03,tcf_density,AFR,39,Chad,Wood fuel,kg/m3sw,629.47832962963
c03,tcf_density,AFR,45,Comoros,Wood fuel,kg/m3sw,629.47832962963
c03,tcf_density,AFR,46,Congo,Wood fuel,kg/m3sw,629.47832962963
c03,tcf_density,AFR,53,Benin,Wood fuel,kg/m3sw,629.47832962963
c03,tcf_density,AFR,59,Egypt,Wood fuel,kg/m3sw,629.47832962963
c03,tcf_density,AFR,61,Equatorial Guinea,Wood fuel,kg/m3sw,629.47832962963
c03,tcf_density,AFR,72,Djibouti,Wood fuel,kg/m3sw,629.47832962963
c03,tcf_density,AFR,74,Gabon,Wood fuel,kg/m3sw,629.47832962963
c03,tcf_density,AFR,75,Gambia,Wood fuel,kg/m3sw,629.47832962963
c03,tcf_density,AFR,81,Ghana,Wood fuel,kg/m3sw,629.47832962963
c03,tcf_density,AFR,90,Guinea,Wood fuel,kg/m3sw,629.47832962963
c03,tcf_density,AFR,107,Cote d'Ivoire,Wood fuel,kg/m3sw,629.47832962963
c03,tcf_density,AFR,114,Kenya,Wood fuel,kg/m3sw,629.47832962963
c03,tcf_density,AFR,122,Lesotho,Wood fuel,kg/m3sw,629.47832962963
c03,tcf_density,AFR,123,Liberia,Wood fuel,kg/m3sw,629.47832962963
c03,tcf_density,AFR,124,Libya,Wood fuel,kg/m3sw,629.47832962963
c03,tcf_density,AFR,129,Madagascar,Wood fuel,kg/m3sw,629.47832962963
c03,tcf_density,AFR,130,Malawi,Wood fuel,kg/m3sw,629.47832962963
c03,tcf_density,AFR,133,Mali,Wood fuel,kg/m3sw,629.47832962963
c03,tcf_density,AFR,136,Mauritania,Wood fuel,kg/m3sw,629.47832962963
c03,tcf_density,AFR,137,Mauritius,Wood fuel,kg/m3sw,629.47832962963
c03,tcf_density,AFR,143,Morocco,Wood fuel,kg/m3sw,629.47832962963
c03,tcf_density,AFR,144,Mozambique,Wood fuel,kg/m3sw,629.47832962963
c03,tcf_density,AFR,147,Namibia,Wood fuel,kg/m3sw,629.47832962963
