area_code;area;proc_code;process;roundwood;chips
1;Armenia;p11;Pulp production;;
2;Afghanistan;p11;Pulp production;;
3;Albania;p11;Pulp production;;
4;Algeria;p11;Pulp production;;
6;Andorra;p11;Pulp production;;
7;Angola;p11;Pulp production;;
9;Argentina;p11;Pulp production;;
10;Australia;p11;Pulp production;;
11;Austria;p11;Pulp production;;
12;Bahamas;p11;Pulp production;;
13;Bahrain;p11;Pulp production;;
14;Barbados;p11;Pulp production;;
15;Belgium-Luxembourg;p11;Pulp production;;
16;Bangladesh;p11;Pulp production;;
18;Bhutan;p11;Pulp production;;
19;Bolivia (Plurinational State of);p11;Pulp production;;
20;Botswana;p11;Pulp production;;
21;Brazil;p11;Pulp production;0.96;0.04
22;Aruba;p11;Pulp production;;
23;Belize;p11;Pulp production;;
25;Solomon Islands;p11;Pulp production;;
26;Brunei Darussalam;p11;Pulp production;;
27;Bulgaria;p11;Pulp production;;
28;Myanmar;p11;Pulp production;;
29;Burundi;p11;Pulp production;;
32;Cameroon;p11;Pulp production;;
33;Canada;p11;Pulp production;0.45;0.55
35;Cabo Verde;p11;Pulp production;;
37;Central African Republic;p11;Pulp production;;
38;Sri Lanka;p11;Pulp production;;
39;Chad;p11;Pulp production;;
40;Chile;p11;Pulp production;0.25;0.75
41;China, mainland;p11;Pulp production;;
42;Christmas Island;p11;Pulp production;;
44;Colombia;p11;Pulp production;;
45;Comoros;p11;Pulp production;;
46;Congo;p11;Pulp production;;
47;Cook Islands;p11;Pulp production;;
48;Costa Rica;p11;Pulp production;;
49;Cuba;p11;Pulp production;;
50;Cyprus;p11;Pulp production;;
51;Czechoslovakia;p11;Pulp production;;
52;Azerbaijan;p11;Pulp production;;
53;Benin;p11;Pulp production;;
54;Denmark;p11;Pulp production;;
55;Dominica;p11;Pulp production;;
56;Dominican Republic;p11;Pulp production;;
57;Belarus;p11;Pulp production;;
58;Ecuador;p11;Pulp production;;
59;Egypt;p11;Pulp production;;
60;El Salvador;p11;Pulp production;;
61;Equatorial Guinea;p11;Pulp production;;
63;Estonia;p11;Pulp production;;
64;Faroe Islands;p11;Pulp production;;
65;Falkland Islands (Malvinas);p11;Pulp production;;
66;Fiji;p11;Pulp production;;
67;Finland;p11;Pulp production;0.90;0.10
68;France;p11;Pulp production;;
69;French Guyana;p11;Pulp production;;
70;French Polynesia;p11;Pulp production;;
72;Djibouti;p11;Pulp production;;
73;Georgia;p11;Pulp production;;
74;Gabon;p11;Pulp production;;
75;Gambia;p11;Pulp production;;
79;Germany;p11;Pulp production;;
80;Bosnia and Herzegovina;p11;Pulp production;;
81;Ghana;p11;Pulp production;;
82;Gibraltar;p11;Pulp production;;
83;Kiribati;p11;Pulp production;;
84;Greece;p11;Pulp production;;
87;Guadeloupe;p11;Pulp production;;
89;Guatemala;p11;Pulp production;;
90;Guinea;p11;Pulp production;;
91;Guyana;p11;Pulp production;;
93;Haiti;p11;Pulp production;;
95;Honduras;p11;Pulp production;;
96;China, Hong Kong SAR;p11;Pulp production;;
97;Hungary;p11;Pulp production;;
98;Croatia;p11;Pulp production;;
99;Iceland;p11;Pulp production;;
100;India;p11;Pulp production;;
101;Indonesia;p11;Pulp production;;
102;Iran (Islamic Republic of);p11;Pulp production;;
103;Iraq;p11;Pulp production;;
104;Ireland;p11;Pulp production;;
105;Israel;p11;Pulp production;;
106;Italy;p11;Pulp production;;
107;Cote d'Ivoire;p11;Pulp production;;
108;Kazakhstan;p11;Pulp production;;
109;Jamaica;p11;Pulp production;;
110;Japan;p11;Pulp production;0.01;0.99
112;Jordan;p11;Pulp production;;
113;Kyrgyzstan;p11;Pulp production;;
114;Kenya;p11;Pulp production;;
115;Cambodia;p11;Pulp production;;
116;Democratic People's Republic of Korea;p11;Pulp production;;
117;Republic of Korea;p11;Pulp production;;
118;Kuwait;p11;Pulp production;;
119;Latvia;p11;Pulp production;;
120;Lao People's Democratic Republic;p11;Pulp production;;
121;Lebanon;p11;Pulp production;;
122;Lesotho;p11;Pulp production;;
123;Liberia;p11;Pulp production;;
124;Libya;p11;Pulp production;;
125;Liechtenstein;p11;Pulp production;;
126;Lithuania;p11;Pulp production;;
128;China, Macao SAR;p11;Pulp production;;
129;Madagascar;p11;Pulp production;;
130;Malawi;p11;Pulp production;;
131;Malaysia;p11;Pulp production;;
132;Maldives;p11;Pulp production;;
133;Mali;p11;Pulp production;;
134;Malta;p11;Pulp production;;
135;Martinique;p11;Pulp production;;
136;Mauritania;p11;Pulp production;;
137;Mauritius;p11;Pulp production;;
138;Mexico;p11;Pulp production;;
141;Mongolia;p11;Pulp production;;
143;Morocco;p11;Pulp production;;
144;Mozambique;p11;Pulp production;;
145;Micronesia (Federated States of);p11;Pulp production;;
146;Republic of Moldova;p11;Pulp production;;
147;Namibia;p11;Pulp production;;
149;Nepal;p11;Pulp production;;
150;Netherlands;p11;Pulp production;;
151;Netherlands Antilles;p11;Pulp production;;
153;New Caledonia;p11;Pulp production;;
154;North Macedonia;p11;Pulp production;;
155;Vanuatu;p11;Pulp production;;
156;New Zealand;p11;Pulp production;;
157;Nicaragua;p11;Pulp production;;
158;Niger;p11;Pulp production;;
159;Nigeria;p11;Pulp production;;
160;Niue;p11;Pulp production;;
161;Norfolk Island;p11;Pulp production;;
162;Norway;p11;Pulp production;;
165;Pakistan;p11;Pulp production;;
166;Panama;p11;Pulp production;;
167;Czechia;p11;Pulp production;;
168;Papua New Guinea;p11;Pulp production;;
169;Paraguay;p11;Pulp production;;
170;Peru;p11;Pulp production;;
171;Philippines;p11;Pulp production;;
173;Poland;p11;Pulp production;;
174;Portugal;p11;Pulp production;;
175;Guinea-Bissau;p11;Pulp production;;
176;Timor-Leste;p11;Pulp production;;
178;Eritrea;p11;Pulp production;;
179;Qatar;p11;Pulp production;;
181;Zimbabwe;p11;Pulp production;;
182;Reunion;p11;Pulp production;;
183;Romania;p11;Pulp production;;
184;Rwanda;p11;Pulp production;;
185;Russian Federation;p11;Pulp production;;
186;Serbia and Montenegro;p11;Pulp production;;
189;Saint Lucia;p11;Pulp production;;
190;Saint Pierre and Miquelon;p11;Pulp production;;
191;Saint Vincent and the Grenadines;p11;Pulp production;;
193;Sao Tome and Principe;p11;Pulp production;;
194;Saudi Arabia;p11;Pulp production;;
195;Senegal;p11;Pulp production;;
196;Seychelles;p11;Pulp production;;
197;Sierra Leone;p11;Pulp production;;
198;Slovenia;p11;Pulp production;;
199;Slovakia;p11;Pulp production;;
200;Singapore;p11;Pulp production;;
201;Somalia;p11;Pulp production;;
202;South Africa;p11;Pulp production;;
203;Spain;p11;Pulp production;;
207;Suriname;p11;Pulp production;;
208;Tajikistan;p11;Pulp production;;
209;Eswatini;p11;Pulp production;;
210;Sweden;p11;Pulp production;;
211;Switzerland;p11;Pulp production;;
212;Syrian Arab Republic;p11;Pulp production;;
213;Turkmenistan;p11;Pulp production;;
214;China, Taiwan Province of;p11;Pulp production;;
215;United Republic of Tanzania;p11;Pulp production;;
216;Thailand;p11;Pulp production;;
217;Togo;p11;Pulp production;;
219;Tonga;p11;Pulp production;;
220;Trinidad and Tobago;p11;Pulp production;;
221;Oman;p11;Pulp production;;
222;Tunisia;p11;Pulp production;;
223;Turkey;p11;Pulp production;;
224;Turks and Caicos Islands;p11;Pulp production;;
225;United Arab Emirates;p11;Pulp production;;
226;Uganda;p11;Pulp production;;
229;United Kingdom;p11;Pulp production;;
230;Ukraine;p11;Pulp production;;
231;United States of America;p11;Pulp production;0.54;0.46
233;Burkina Faso;p11;Pulp production;;
234;Uruguay;p11;Pulp production;;
235;Uzbekistan;p11;Pulp production;;
236;Venezuela (Bolivarian Republic of);p11;Pulp production;;
237;Viet Nam;p11;Pulp production;;
238;Ethiopia;p11;Pulp production;;
239;British Virgin Islands;p11;Pulp production;;
244;Samoa;p11;Pulp production;;
249;Yemen;p11;Pulp production;;
250;Democratic Republic of the Congo;p11;Pulp production;;
251;Zambia;p11;Pulp production;;
255;Belgium;p11;Pulp production;;
256;Luxembourg;p11;Pulp production;;
270;Mayotte;p11;Pulp production;;
272;Serbia;p11;Pulp production;;
273;Montenegro;p11;Pulp production;;
276;Sudan;p11;Pulp production;;
277;South Sudan;p11;Pulp production;;
5;American Samoa;p11;Pulp production;;
8;Antigua and Barbuda;p11;Pulp production;;
17;Bermuda;p11;Pulp production;;
24;British Indian Ocean Territory;p11;Pulp production;;
36;Cayman Islands;p11;Pulp production;;
43;Cocos (Keeling) Islands;p11;Pulp production;;
71;French Southern and Antarctic Territories;p11;Pulp production;;
85;Greenland;p11;Pulp production;;
86;Grenada;p11;Pulp production;;
88;Guam;p11;Pulp production;;
94;Holy See;p11;Pulp production;;
127;Marshall Islands;p11;Pulp production;;
142;Montserrat;p11;Pulp production;;
