area_code;area;com_code;item;%recycled
1;Armenia;c09;Particle board;    
2;Afghanistan;c09;Particle board;    
3;Albania;c09;Particle board;    
4;Algeria;c09;Particle board;    
6;Andorra;c09;Particle board;    
7;Angola;c09;Particle board;    
9;Argentina;c09;Particle board;    
10;Australia;c09;Particle board;    
11;Austria;c09;Particle board;    
12;Bahamas;c09;Particle board;    
13;Bahrain;c09;Particle board;    
14;Barbados;c09;Particle board;    
15;Belgium-Luxembourg;c09;Particle board;    
16;Bangladesh;c09;Particle board;    
18;Bhutan;c09;Particle board;    
19;Bolivia (Plurinational State of);c09;Particle board;    
20;Botswana;c09;Particle board;    
21;Brazil;c09;Particle board;    
22;Aruba;c09;Particle board;    
23;Belize;c09;Particle board;    
25;Solomon Islands;c09;Particle board;    
26;Brunei Darussalam;c09;Particle board;    
27;Bulgaria;c09;Particle board;    
28;Myanmar;c09;Particle board;    
29;Burundi;c09;Particle board;    
32;Cameroon;c09;Particle board;    
33;Canada;c09;Particle board;    
35;Cabo Verde;c09;Particle board;    
37;Central African Republic;c09;Particle board;    
38;Sri Lanka;c09;Particle board;    
39;Chad;c09;Particle board;    
40;Chile;c09;Particle board;    
41;China, mainland;c09;Particle board;    
42;Christmas Island;c09;Particle board;    
44;Colombia;c09;Particle board;    
45;Comoros;c09;Particle board;    
46;Congo;c09;Particle board;    
47;Cook Islands;c09;Particle board;    
48;Costa Rica;c09;Particle board;    
49;Cuba;c09;Particle board;    
50;Cyprus;c09;Particle board;    
51;Czechoslovakia;c09;Particle board;    
52;Azerbaijan;c09;Particle board;    
53;Benin;c09;Particle board;    
54;Denmark;c09;Particle board;    
55;Dominica;c09;Particle board;    
56;Dominican Republic;c09;Particle board;    
57;Belarus;c09;Particle board;    
58;Ecuador;c09;Particle board;    
59;Egypt;c09;Particle board;    
60;El Salvador;c09;Particle board;    
61;Equatorial Guinea;c09;Particle board;    
63;Estonia;c09;Particle board;    
64;Faroe Islands;c09;Particle board;    
65;Falkland Islands (Malvinas);c09;Particle board;    
66;Fiji;c09;Particle board;    
67;Finland;c09;Particle board;    
68;France;c09;Particle board;25
69;French Guyana;c09;Particle board;    
70;French Polynesia;c09;Particle board;    
72;Djibouti;c09;Particle board;    
73;Georgia;c09;Particle board;    
74;Gabon;c09;Particle board;    
75;Gambia;c09;Particle board;    
79;Germany;c09;Particle board;    
80;Bosnia and Herzegovina;c09;Particle board;    
81;Ghana;c09;Particle board;    
82;Gibraltar;c09;Particle board;    
83;Kiribati;c09;Particle board;    
84;Greece;c09;Particle board;    
87;Guadeloupe;c09;Particle board;    
89;Guatemala;c09;Particle board;    
90;Guinea;c09;Particle board;    
91;Guyana;c09;Particle board;    
93;Haiti;c09;Particle board;    
95;Honduras;c09;Particle board;    
96;China, Hong Kong SAR;c09;Particle board;    
97;Hungary;c09;Particle board;    
98;Croatia;c09;Particle board;    
99;Iceland;c09;Particle board;    
100;India;c09;Particle board;    
101;Indonesia;c09;Particle board;    
102;Iran (Islamic Republic of);c09;Particle board;    
103;Iraq;c09;Particle board;    
104;Ireland;c09;Particle board;45
105;Israel;c09;Particle board;    
106;Italy;c09;Particle board;    
107;Cote d'Ivoire;c09;Particle board;    
108;Kazakhstan;c09;Particle board;    
109;Jamaica;c09;Particle board;    
110;Japan;c09;Particle board;    
112;Jordan;c09;Particle board;    
113;Kyrgyzstan;c09;Particle board;    
114;Kenya;c09;Particle board;    
115;Cambodia;c09;Particle board;    
116;Democratic People's Republic of Korea;c09;Particle board;    
