"area_code","area","iso3c","continent","baci","baci_code"
1,"Armenia","ARM","ASI",TRUE,51
2,"Afghanistan","AFG","ASI",TRUE,4
3,"Albania","ALB","EUR",TRUE,8
4,"Algeria","DZA","AFR",TRUE,12
6,"Andorra","AND","EUR",TRUE,20
7,"Angola","AGO","AFR",TRUE,24
9,"Argentina","ARG","LAM",TRUE,32
10,"Australia","AUS","OCE",TRUE,36
11,"Austria","AUT","EU",TRUE,40
12,"Bahamas","BHS","LAM",TRUE,44
13,"Bahrain","BHR","ASI",TRUE,48
14,"Barbados","BRB","LAM",TRUE,52
15,"Belgium-Luxembourg","BLX","EU",TRUE,58
16,"Bangladesh","BGD","ASI",TRUE,50
18,"Bhutan","BTN","ASI",TRUE,64
19,"Bolivia (Plurinational State of)","BOL","LAM",TRUE,68
20,"Botswana","BWA","AFR",FALSE,NA
21,"Brazil","BRA","LAM",TRUE,76
22,"Aruba","ABW","LAM",TRUE,533
23,"Belize","BLZ","LAM",TRUE,84
25,"Solomon Islands","SLB","OCE",TRUE,90
26,"Brunei Darussalam","BRN","ASI",TRUE,96
27,"Bulgaria","BGR","EU",TRUE,100
28,"Myanmar","MMR","ASI",TRUE,104
29,"Burundi","BDI","AFR",TRUE,108
32,"Cameroon","CMR","AFR",TRUE,120
33,"Canada","CAN","NAM",TRUE,124
35,"Cabo Verde","CPV","AFR",TRUE,132
37,"Central African Republic","CAF","AFR",TRUE,140
38,"Sri Lanka","LKA","ASI",TRUE,144
39,"Chad","TCD","AFR",TRUE,148
40,"Chile","CHL","LAM",TRUE,152
41,"China, mainland","CHN","ASI",TRUE,156
42,"Christmas Island","CXR","OCE",TRUE,162
44,"Colombia","COL","LAM",TRUE,170
45,"Comoros","COM","AFR",TRUE,174
46,"Congo","COG","AFR",TRUE,178
47,"Cook Islands","COK","OCE",TRUE,184
48,"Costa Rica","CRI","LAM",TRUE,188
49,"Cuba","CUB","LAM",TRUE,192
50,"Cyprus","CYP","EU",TRUE,196
51,"Czechoslovakia","CSK","EU",TRUE,200
52,"Azerbaijan","AZE","ASI",TRUE,31
53,"Benin","BEN","AFR",TRUE,204
54,"Denmark","DNK","EU",TRUE,208
55,"Dominica","DMA","LAM",TRUE,212
56,"Dominican Republic","DOM","LAM",TRUE,214
57,"Belarus","BLR","EUR",TRUE,112
