area_code;area;com_code;item;c08_1_share;c08_2_share;c08_3_share
1;Armenia;c08;Fibreboard;0.0;0.0;0.0
2;Afghanistan;c08;Fibreboard;NA;NA;NA
3;Albania;c08;Fibreboard;0.0;0.0;0.0
4;Algeria;c08;Fibreboard;NA;NA;NA
6;Andorra;c08;Fibreboard;NA;NA;NA
7;Angola;c08;Fibreboard;NA;NA;NA
9;Argentina;c08;Fibreboard;7.8;92.2;0.0
10;Australia;c08;Fibreboard;0.0;100.0;0.0
11;Austria;c08;Fibreboard;11.8;88.2;0.0
12;Bahamas;c08;Fibreboard;NA;NA;NA
13;Bahrain;c08;Fibreboard;NA;NA;NA
14;Barbados;c08;Fibreboard;NA;NA;NA
15;Belgium-Luxembourg;c08;Fibreboard;NA;NA;NA
16;Bangladesh;c08;Fibreboard;100.0;0.0;0.0
18;Bhutan;c08;Fibreboard;NA;NA;NA
19;Bolivia (Plurinational State of);c08;Fibreboard;33.3;0.0;66.7
20;Botswana;c08;Fibreboard;NA;NA;NA
21;Brazil;c08;Fibreboard;6.4;93.6;0.0
22;Aruba;c08;Fibreboard;NA;NA;NA
23;Belize;c08;Fibreboard;NA;NA;NA
25;Solomon Islands;c08;Fibreboard;NA;NA;NA
26;Brunei Darussalam;c08;Fibreboard;NA;NA;NA
27;Bulgaria;c08;Fibreboard;87.7;12.3;0.0
28;Myanmar;c08;Fibreboard;NA;NA;NA
29;Burundi;c08;Fibreboard;NA;NA;NA
32;Cameroon;c08;Fibreboard;NA;NA;NA
33;Canada;c08;Fibreboard;6.8;85.6;7.6
35;Cabo Verde;c08;Fibreboard;NA;NA;NA
37;Central African Republic;c08;Fibreboard;NA;NA;NA
38;Sri Lanka;c08;Fibreboard;0.0;100.0;0.0
39;Chad;c08;Fibreboard;NA;NA;NA
40;Chile;c08;Fibreboard;3.1;96.9;0.0
41;China, mainland;c08;Fibreboard;5.8;93.8;0.4
42;Christmas Island;c08;Fibreboard;NA;NA;NA
44;Colombia;c08;Fibreboard;18.8;81.2;0.0
45;Comoros;c08;Fibreboard;NA;NA;NA
46;Congo;c08;Fibreboard;NA;NA;NA
47;Cook Islands;c08;Fibreboard;NA;NA;NA
48;Costa Rica;c08;Fibreboard;NA;NA;NA
49;Cuba;c08;Fibreboard;100.0;0.0;0.0
50;Cyprus;c08;Fibreboard;0.0;0.0;0.0
51;Czechoslovakia;c08;Fibreboard;NA;NA;NA
52;Azerbaijan;c08;Fibreboard;0.0;0.0;0.0
53;Benin;c08;Fibreboard;NA;NA;NA
54;Denmark;c08;Fibreboard;0.0;0.0;100.0
55;Dominica;c08;Fibreboard;NA;NA;NA
56;Dominican Republic;c08;Fibreboard;NA;NA;NA
57;Belarus;c08;Fibreboard;9.3;90.1;0.6
58;Ecuador;c08;Fibreboard;51.7;48.3;0.0
59;Egypt;c08;Fibreboard;0.0;100.0;0.0
60;El Salvador;c08;Fibreboard;NA;NA;NA
61;Equatorial Guinea;c08;Fibreboard;NA;NA;NA
63;Estonia;c08;Fibreboard;0.0;0.0;100.0
64;Faroe Islands;c08;Fibreboard;NA;NA;NA
65;Falkland Islands (Malvinas);c08;Fibreboard;NA;NA;NA
66;Fiji;c08;Fibreboard;NA;NA;NA
67;Finland;c08;Fibreboard;100.0;0.0;0.0
68;France;c08;Fibreboard;8.2;86.0;5.8
69;French Guyana;c08;Fibreboard;NA;NA;NA
70;French Polynesia;c08;Fibreboard;NA;NA;NA
72;Djibouti;c08;Fibreboard;NA;NA;NA
73;Georgia;c08;Fibreboard;0.0;0.0;0.0
74;Gabon;c08;Fibreboard;NA;NA;NA
75;Gambia;c08;Fibreboard;NA;NA;NA
79;Germany;c08;Fibreboard;0.0;79.0;21.0
80;Bosnia and Herzegovina;c08;Fibreboard;0.0;100.0;0.0
81;Ghana;c08;Fibreboard;0.0;0.0;0.0
82;Gibraltar;c08;Fibreboard;NA;NA;NA
83;Kiribati;c08;Fibreboard;NA;NA;NA
84;Greece;c08;Fibreboard;0.0;100.0;0.0
87;Guadeloupe;c08;Fibreboard;NA;NA;NA
89;Guatemala;c08;Fibreboard;NA;NA;NA
90;Guinea;c08;Fibreboard;NA;NA;NA
91;Guyana;c08;Fibreboard;NA;NA;NA
93;Haiti;c08;Fibreboard;NA;NA;NA
95;Honduras;c08;Fibreboard;NA;NA;NA
96;China, Hong Kong SAR;c08;Fibreboard;NA;NA;NA
97;Hungary;c08;Fibreboard;0.5;95.4;4.1
98;Croatia;c08;Fibreboard;0.0;0.0;0.0
99;Iceland;c08;Fibreboard;0.0;0.0;0.0
100;India;c08;Fibreboard;8.0;91.7;0.3
101;Indonesia;c08;Fibreboard;5.6;69.6;24.8
102;Iran (Islamic Republic of);c08;Fibreboard;0.2;99.8;0.0
103;Iraq;c08;Fibreboard;NA;NA;NA
104;Ireland;c08;Fibreboard;0.0;85.7;14.3
105;Israel;c08;Fibreboard;0.0;100.0;0.0
106;Italy;c08;Fibreboard;1.5;98.2;0.2
107;Cote d'Ivoire;c08;Fibreboard;NA;NA;NA
108;Kazakhstan;c08;Fibreboard;100.0;0.0;0.0
109;Jamaica;c08;Fibreboard;NA;NA;NA
110;Japan;c08;Fibreboard;5.7;51.2;43.1
112;Jordan;c08;Fibreboard;NA;NA;NA
113;Kyrgyzstan;c08;Fibreboard;0.0;0.0;0.0
114;Kenya;c08;Fibreboard;100.0;0.0;0.0
115;Cambodia;c08;Fibreboard;NA;NA;NA
116;Democratic People's Republic of Korea;c08;Fibreboard;NA;NA;NA
117;Republic of Korea;c08;Fibreboard;0.0;100.0;0.0
118;Kuwait;c08;Fibreboard;NA;NA;NA
119;Latvia;c08;Fibreboard;0.0;0.0;0.0
120;Lao People's Democratic Republic;c08;Fibreboard;NA;NA;NA
121;Lebanon;c08;Fibreboard;NA;NA;NA
122;Lesotho;c08;Fibreboard;NA;NA;NA
123;Liberia;c08;Fibreboard;0.0;0.0;0.0
124;Libya;c08;Fibreboard;NA;NA;NA
125;Liechtenstein;c08;Fibreboard;0.0;0.0;0.0
126;Lithuania;c08;Fibreboard;100.0;0.0;0.0
128;China, Macao SAR;c08;Fibreboard;NA;NA;NA
129;Madagascar;c08;Fibreboard;0.0;0.0;0.0
130;Malawi;c08;Fibreboard;0.0;100.0;0.0
131;Malaysia;c08;Fibreboard;6.4;93.6;0.0
132;Maldives;c08;Fibreboard;NA;NA;NA
133;Mali;c08;Fibreboard;NA;NA;NA
134;Malta;c08;Fibreboard;0.0;0.0;0.0
135;Martinique;c08;Fibreboard;NA;NA;NA
136;Mauritania;c08;Fibreboard;NA;NA;NA
137;Mauritius;c08;Fibreboard;0.0;0.0;0.0
138;Mexico;c08;Fibreboard;54.7;45.3;0.0
141;Mongolia;c08;Fibreboard;NA;NA;NA
143;Morocco;c08;Fibreboard;NA;NA;NA
144;Mozambique;c08;Fibreboard;NA;NA;NA
145;Micronesia (Federated States of);c08;Fibreboard;NA;NA;NA
146;Republic of Moldova;c08;Fibreboard;0.0;0.0;0.0
147;Namibia;c08;Fibreboard;NA;NA;NA
149;Nepal;c08;Fibreboard;NA;NA;NA
150;Netherlands;c08;Fibreboard;0.0;0.0;100.0
151;Netherlands Antilles;c08;Fibreboard;NA;NA;NA
153;New Caledonia;c08;Fibreboard;NA;NA;NA
154;North Macedonia;c08;Fibreboard;0.0;0.0;0.0
155;Vanuatu;c08;Fibreboard;NA;NA;NA
156;New Zealand;c08;Fibreboard;0.0;100.0;0.0
157;Nicaragua;c08;Fibreboard;NA;NA;NA
158;Niger;c08;Fibreboard;NA;NA;NA
159;Nigeria;c08;Fibreboard;NA;NA;NA
160;Niue;c08;Fibreboard;NA;NA;NA
161;Norfolk Island;c08;Fibreboard;NA;NA;NA
162;Norway;c08;Fibreboard;29.9;0.0;70.1
165;Pakistan;c08;Fibreboard;16.3;83.8;0.0
166;Panama;c08;Fibreboard;NA;NA;NA
167;Czechia;c08;Fibreboard;0.0;100.0;0.0
168;Papua New Guinea;c08;Fibreboard;NA;NA;NA
169;Paraguay;c08;Fibreboard;NA;NA;NA
170;Peru;c08;Fibreboard;0.0;0.0;0.0
171;Philippines;c08;Fibreboard;100.0;0.0;0.0
173;Poland;c08;Fibreboard;2.4;70.8;26.8
174;Portugal;c08;Fibreboard;6.2;91.7;2.1
175;Guinea-Bissau;c08;Fibreboard;NA;NA;NA
176;Timor-Leste;c08;Fibreboard;NA;NA;NA
178;Eritrea;c08;Fibreboard;NA;NA;NA
179;Qatar;c08;Fibreboard;NA;NA;NA
181;Zimbabwe;c08;Fibreboard;NA;NA;NA
182;Reunion;c08;Fibreboard;NA;NA;NA
183;Romania;c08;Fibreboard;0.0;95.8;4.2
184;Rwanda;c08;Fibreboard;NA;NA;NA
185;Russian Federation;c08;Fibreboard;11.7;88.3;0.0
186;Serbia and Montenegro;c08;Fibreboard;NA;NA;NA
189;Saint Lucia;c08;Fibreboard;NA;NA;NA
190;Saint Pierre and Miquelon;c08;Fibreboard;NA;NA;NA
191;Saint Vincent and the Grenadines;c08;Fibreboard;NA;NA;NA
193;Sao Tome and Principe;c08;Fibreboard;NA;NA;NA
194;Saudi Arabia;c08;Fibreboard;NA;NA;NA
195;Senegal;c08;Fibreboard;NA;NA;NA
196;Seychelles;c08;Fibreboard;0.0;0.0;0.0
197;Sierra Leone;c08;Fibreboard;NA;NA;NA
198;Slovenia;c08;Fibreboard;0.0;100.0;0.0
199;Slovakia;c08;Fibreboard;0.0;0.0;0.0
200;Singapore;c08;Fibreboard;NA;NA;NA
201;Somalia;c08;Fibreboard;NA;NA;NA
202;South Africa;c08;Fibreboard;31.9;68.1;0.0
203;Spain;c08;Fibreboard;1.7;93.8;4.5
207;Suriname;c08;Fibreboard;NA;NA;NA
208;Tajikistan;c08;Fibreboard;0.0;0.0;0.0
209;Eswatini;c08;Fibreboard;NA;NA;NA
210;Sweden;c08;Fibreboard;0.0;0.0;0.0
211;Switzerland;c08;Fibreboard;0.0;58.6;41.4
212;Syrian Arab Republic;c08;Fibreboard;NA;NA;NA
213;Turkmenistan;c08;Fibreboard;0.0;0.0;0.0
214;China, Taiwan Province of;c08;Fibreboard;100.0;0.0;0.0
215;United Republic of Tanzania;c08;Fibreboard;100.0;0.0;0.0
216;Thailand;c08;Fibreboard;6.3;88.1;5.7
217;Togo;c08;Fibreboard;NA;NA;NA
219;Tonga;c08;Fibreboard;NA;NA;NA
220;Trinidad and Tobago;c08;Fibreboard;NA;NA;NA
221;Oman;c08;Fibreboard;NA;NA;NA
222;Tunisia;c08;Fibreboard;0.0;100.0;0.0
223;Turkey;c08;Fibreboard;0.0;98.8;1.2
224;Turks and Caicos Islands;c08;Fibreboard;NA;NA;NA
225;United Arab Emirates;c08;Fibreboard;NA;NA;NA
226;Uganda;c08;Fibreboard;NA;NA;NA
229;United Kingdom;c08;Fibreboard;NA;NA;NA
230;Ukraine;c08;Fibreboard;80.4;19.6;0.0
231;United States of America;c08;Fibreboard;4.8;46.9;48.3
233;Burkina Faso;c08;Fibreboard;NA;NA;NA
234;Uruguay;c08;Fibreboard;0.0;0.0;0.0
235;Uzbekistan;c08;Fibreboard;0.0;81.2;18.8
236;Venezuela (Bolivarian Republic of);c08;Fibreboard;0.4;91.4;8.2
237;Viet Nam;c08;Fibreboard;0.0;84.2;15.8
238;Ethiopia;c08;Fibreboard;100.0;0.0;0.0
239;British Virgin Islands;c08;Fibreboard;NA;NA;NA
244;Samoa;c08;Fibreboard;NA;NA;NA
249;Yemen;c08;Fibreboard;NA;NA;NA
250;Democratic Republic of the Congo;c08;Fibreboard;NA;NA;NA
251;Zambia;c08;Fibreboard;NA;NA;NA
255;Belgium;c08;Fibreboard;0.0;100.0;0.0
256;Luxembourg;c08;Fibreboard;0.0;100.0;0.0
270;Mayotte;c08;Fibreboard;NA;NA;NA
272;Serbia;c08;Fibreboard;100.0;0.0;0.0
273;Montenegro;c08;Fibreboard;0.0;0.0;0.0
276;Sudan;c08;Fibreboard;NA;NA;NA
277;South Sudan;c08;Fibreboard;NA;NA;NA
5;American Samoa;c08;Fibreboard;NA;NA;NA
8;Antigua and Barbuda;c08;Fibreboard;NA;NA;NA
17;Bermuda;c08;Fibreboard;NA;NA;NA
24;British Indian Ocean Territory;c08;Fibreboard;NA;NA;NA
36;Cayman Islands;c08;Fibreboard;NA;NA;NA
43;Cocos (Keeling) Islands;c08;Fibreboard;NA;NA;NA
71;French Southern and Antarctic Territories;c08;Fibreboard;NA;NA;NA
85;Greenland;c08;Fibreboard;NA;NA;NA
86;Grenada;c08;Fibreboard;NA;NA;NA
88;Guam;c08;Fibreboard;NA;NA;NA
94;Holy See;c08;Fibreboard;NA;NA;NA
127;Marshall Islands;c08;Fibreboard;NA;NA;NA
142;Montserrat;c08;Fibreboard;NA;NA;NA
148;Nauru;c08;Fibreboard;NA;NA;NA
163;Northern Mariana Islands;c08;Fibreboard;NA;NA;NA
164;Pacific Islands Trust Territory;c08;Fibreboard;NA;NA;NA
172;Pitcairn Islands;c08;Fibreboard;NA;NA;NA
180;Palau;c08;Fibreboard;NA;NA;NA
187;Saint Helena, Ascension and Tristan da Cunha;c08;Fibreboard;NA;NA;NA
188;Saint Kitts and Nevis;c08;Fibreboard;NA;NA;NA
192;San Marino;c08;Fibreboard;NA;NA;NA
205;Western Sahara;c08;Fibreboard;NA;NA;NA
218;Tokelau;c08;Fibreboard;NA;NA;NA
227;Tuvalu;c08;Fibreboard;NA;NA;NA
228;USSR;c08;Fibreboard;NA;NA;NA
242;Wake Island;c08;Fibreboard;NA;NA;NA
243;Wallis and Futuna Islands;c08;Fibreboard;NA;NA;NA
248;Yugoslav SFR;c08;Fibreboard;NA;NA;NA
258;Anguilla;c08;Fibreboard;NA;NA;NA
279;Curaçao;c08;Fibreboard;NA;NA;NA
281;Saint-Martin (French Part);c08;Fibreboard;NA;NA;NA
299;Palestine;c08;Fibreboard;NA;NA;NA
252;Unspecified Area;c08;Fibreboard;NA;NA;NA
254;Others (adjustment);c08;Fibreboard;NA;NA;NA
999;RoW;c08;Fibreboard;NA;NA;NA
;ASI;c08;Fibreboard;NA;NA;NA
;EUR;c08;Fibreboard;NA;NA;NA
;AFR;c08;Fibreboard;NA;NA;NA
;LAM;c08;Fibreboard;NA;NA;NA
;OCE;c08;Fibreboard;NA;NA;NA
;NAM;c08;Fibreboard;NA;NA;NA
