area_code;area;com_code;item;c01_1_share;c01_2_share
1;Armenia;c01;Industrial roundwood, coniferous;0.00;0.00
2;Afghanistan;c01;Industrial roundwood, coniferous;100.00;0.00
3;Albania;c01;Industrial roundwood, coniferous;100.00;0.00
4;Algeria;c01;Industrial roundwood, coniferous;32.89;67.11
6;Andorra;c01;Industrial roundwood, coniferous;NA;NA
7;Angola;c01;Industrial roundwood, coniferous;NA;NA
9;Argentina;c01;Industrial roundwood, coniferous;56.28;43.72
10;Australia;c01;Industrial roundwood, coniferous;63.07;36.93
11;Austria;c01;Industrial roundwood, coniferous;78.54;21.46
12;Bahamas;c01;Industrial roundwood, coniferous;100.00;0.00
13;Bahrain;c01;Industrial roundwood, coniferous;NA;NA
14;Barbados;c01;Industrial roundwood, coniferous;NA;NA
15;Belgium-Luxembourg;c01;Industrial roundwood, coniferous;NA;NA
16;Bangladesh;c01;Industrial roundwood, coniferous;NA;NA
18;Bhutan;c01;Industrial roundwood, coniferous;100.00;0.00
19;Bolivia (Plurinational State of);c01;Industrial roundwood, coniferous;100.00;0.00
20;Botswana;c01;Industrial roundwood, coniferous;NA;NA
21;Brazil;c01;Industrial roundwood, coniferous;63.60;36.40
22;Aruba;c01;Industrial roundwood, coniferous;NA;NA
23;Belize;c01;Industrial roundwood, coniferous;100.00;0.00
25;Solomon Islands;c01;Industrial roundwood, coniferous;0.00;0.00
26;Brunei Darussalam;c01;Industrial roundwood, coniferous;0.00;0.00
27;Bulgaria;c01;Industrial roundwood, coniferous;48.09;51.91
28;Myanmar;c01;Industrial roundwood, coniferous;100.00;0.00
29;Burundi;c01;Industrial roundwood, coniferous;100.00;0.00
32;Cameroon;c01;Industrial roundwood, coniferous;NA;NA
33;Canada;c01;Industrial roundwood, coniferous;96.33;3.67
35;Cabo Verde;c01;Industrial roundwood, coniferous;NA;NA
37;Central African Republic;c01;Industrial roundwood, coniferous;NA;NA
38;Sri Lanka;c01;Industrial roundwood, coniferous;0.00;0.00
