area_code;area;com_code;item;c02_1_share;c02_2_share
1;Armenia;c02;Industrial roundwood, non-coniferous;0.0;0.0
2;Afghanistan;c02;Industrial roundwood, non-coniferous;100.0;0.0
3;Albania;c02;Industrial roundwood, non-coniferous;100.0;0.0
4;Algeria;c02;Industrial roundwood, non-coniferous;27.3;72.7
6;Andorra;c02;Industrial roundwood, non-coniferous;NA;NA
7;Angola;c02;Industrial roundwood, non-coniferous;100.0;0.0
9;Argentina;c02;Industrial roundwood, non-coniferous;66.0;34.0
10;Australia;c02;Industrial roundwood, non-coniferous;17.5;82.5
11;Austria;c02;Industrial roundwood, non-coniferous;28.9;71.1
12;Bahamas;c02;Industrial roundwood, non-coniferous;100.0;0.0
13;Bahrain;c02;Industrial roundwood, non-coniferous;NA;NA
14;Barbados;c02;Industrial roundwood, non-coniferous;100.0;0.0
15;Belgium-Luxembourg;c02;Industrial roundwood, non-coniferous;NA;NA
16;Bangladesh;c02;Industrial roundwood, non-coniferous;99.2;0.8
18;Bhutan;c02;Industrial roundwood, non-coniferous;54.5;45.5
19;Bolivia (Plurinational State of);c02;Industrial roundwood, non-coniferous;100.0;0.0
20;Botswana;c02;Industrial roundwood, non-coniferous;NA;NA
21;Brazil;c02;Industrial roundwood, non-coniferous;27.6;72.4
22;Aruba;c02;Industrial roundwood, non-coniferous;NA;NA
23;Belize;c02;Industrial roundwood, non-coniferous;100.0;0.0
25;Solomon Islands;c02;Industrial roundwood, non-coniferous;100.0;0.0
26;Brunei Darussalam;c02;Industrial roundwood, non-coniferous;100.0;0.0
27;Bulgaria;c02;Industrial roundwood, non-coniferous;35.8;64.2
28;Myanmar;c02;Industrial roundwood, non-coniferous;100.0;0.0
29;Burundi;c02;Industrial roundwood, non-coniferous;100.0;0.0
32;Cameroon;c02;Industrial roundwood, non-coniferous;100.0;0.0
33;Canada;c02;Industrial roundwood, non-coniferous;58.9;41.1
35;Cabo Verde;c02;Industrial roundwood, non-coniferous;NA;NA
37;Central African Republic;c02;Industrial roundwood, non-coniferous;100.0;0.0
38;Sri Lanka;c02;Industrial roundwood, non-coniferous;100.0;0.0
39;Chad;c02;Industrial roundwood, non-coniferous;100.0;0.0
40;Chile;c02;Industrial roundwood, non-coniferous;4.0;96.0
41;China, mainland;c02;Industrial roundwood, non-coniferous;73.1;26.9
42;Christmas Island;c02;Industrial roundwood, non-coniferous;NA;NA
44;Colombia;c02;Industrial roundwood, non-coniferous;73.1;26.9
45;Comoros;c02;Industrial roundwood, non-coniferous;100.0;0.0
46;Congo;c02;Industrial roundwood, non-coniferous;88.4;11.6
47;Cook Islands;c02;Industrial roundwood, non-coniferous;NA;NA
48;Costa Rica;c02;Industrial roundwood, non-coniferous;100.0;0.0
49;Cuba;c02;Industrial roundwood, non-coniferous;100.0;0.0
50;Cyprus;c02;Industrial roundwood, non-coniferous;100.0;0.0
51;Czechoslovakia;c02;Industrial roundwood, non-coniferous;NA;NA
52;Azerbaijan;c02;Industrial roundwood, non-coniferous;50.0;50.0
53;Benin;c02;Industrial roundwood, non-coniferous;100.0;0.0
54;Denmark;c02;Industrial roundwood, non-coniferous;67.8;32.2
55;Dominica;c02;Industrial roundwood, non-coniferous;NA;NA
56;Dominican Republic;c02;Industrial roundwood, non-coniferous;100.0;0.0
57;Belarus;c02;Industrial roundwood, non-coniferous;47.7;52.3
58;Ecuador;c02;Industrial roundwood, non-coniferous;71.1;28.9
59;Egypt;c02;Industrial roundwood, non-coniferous;100.0;0.0
60;El Salvador;c02;Industrial roundwood, non-coniferous;100.0;0.0
61;Equatorial Guinea;c02;Industrial roundwood, non-coniferous;100.0;0.0
63;Estonia;c02;Industrial roundwood, non-coniferous;42.8;57.2
64;Faroe Islands;c02;Industrial roundwood, non-coniferous;NA;NA
65;Falkland Islands (Malvinas);c02;Industrial roundwood, non-coniferous;NA;NA
66;Fiji;c02;Industrial roundwood, non-coniferous;100.0;0.0
67;Finland;c02;Industrial roundwood, non-coniferous;11.0;89.0
68;France;c02;Industrial roundwood, non-coniferous;57.6;42.4
69;French Guyana;c02;Industrial roundwood, non-coniferous;100.0;0.0
70;French Polynesia;c02;Industrial roundwood, non-coniferous;NA;NA
72;Djibouti;c02;Industrial roundwood, non-coniferous;NA;NA
73;Georgia;c02;Industrial roundwood, non-coniferous;100.0;0.0
74;Gabon;c02;Industrial roundwood, non-coniferous;100.0;0.0
75;Gambia;c02;Industrial roundwood, non-coniferous;100.0;0.0
79;Germany;c02;Industrial roundwood, non-coniferous;52.3;47.7
80;Bosnia and Herzegovina;c02;Industrial roundwood, non-coniferous;92.4;7.6
81;Ghana;c02;Industrial roundwood, non-coniferous;100.0;0.0
82;Gibraltar;c02;Industrial roundwood, non-coniferous;NA;NA
83;Kiribati;c02;Industrial roundwood, non-coniferous;NA;NA
84;Greece;c02;Industrial roundwood, non-coniferous;100.0;0.0
87;Guadeloupe;c02;Industrial roundwood, non-coniferous;0.0;0.0
89;Guatemala;c02;Industrial roundwood, non-coniferous;100.0;0.0
90;Guinea;c02;Industrial roundwood, non-coniferous;100.0;0.0
91;Guyana;c02;Industrial roundwood, non-coniferous;100.0;0.0
93;Haiti;c02;Industrial roundwood, non-coniferous;100.0;0.0
95;Honduras;c02;Industrial roundwood, non-coniferous;100.0;0.0
96;China, Hong Kong SAR;c02;Industrial roundwood, non-coniferous;NA;NA
97;Hungary;c02;Industrial roundwood, non-coniferous;73.8;26.2
98;Croatia;c02;Industrial roundwood, non-coniferous;88.1;11.9
99;Iceland;c02;Industrial roundwood, non-coniferous;0.0;0.0
100;India;c02;Industrial roundwood, non-coniferous;97.6;2.4
101;Indonesia;c02;Industrial roundwood, non-coniferous;44.0;56.0
102;Iran (Islamic Republic of);c02;Industrial roundwood, non-coniferous;58.3;41.7
103;Iraq;c02;Industrial roundwood, non-coniferous;100.0;0.0
104;Ireland;c02;Industrial roundwood, non-coniferous;100.0;0.0
105;Israel;c02;Industrial roundwood, non-coniferous;33.3;66.7
106;Italy;c02;Industrial roundwood, non-coniferous;77.2;22.8
107;Cote d'Ivoire;c02;Industrial roundwood, non-coniferous;NA;NA
108;Kazakhstan;c02;Industrial roundwood, non-coniferous;0.0;0.0
109;Jamaica;c02;Industrial roundwood, non-coniferous;100.0;0.0
110;Japan;c02;Industrial roundwood, non-coniferous;7.4;92.6
112;Jordan;c02;Industrial roundwood, non-coniferous;NA;NA
