area_code;area;com_code;item;c14_1_share;c14_2_share;c14_3_share
1;Armenia;c14;Paper and paperboard;0.00;0.00;100.00
2;Afghanistan;c14;Paper and paperboard;NA;NA;NA
3;Albania;c14;Paper and paperboard;0.00;0.00;0.00
4;Algeria;c14;Paper and paperboard;4.30;30.11;65.59
6;Andorra;c14;Paper and paperboard;NA;NA;NA
7;Angola;c14;Paper and paperboard;0.00;0.00;0.00
9;Argentina;c14;Paper and paperboard;5.91;13.46;80.63
10;Australia;c14;Paper and paperboard;9.86;14.14;76.00
11;Austria;c14;Paper and paperboard;6.03;41.41;52.56
12;Bahamas;c14;Paper and paperboard;NA;NA;NA
13;Bahrain;c14;Paper and paperboard;NA;NA;NA
14;Barbados;c14;Paper and paperboard;NA;NA;NA
15;Belgium-Luxembourg;c14;Paper and paperboard;NA;NA;NA
16;Bangladesh;c14;Paper and paperboard;34.48;51.72;13.79
18;Bhutan;c14;Paper and paperboard;NA;NA;NA
19;Bolivia (Plurinational State of);c14;Paper and paperboard;NA;NA;NA
20;Botswana;c14;Paper and paperboard;NA;NA;NA
21;Brazil;c14;Paper and paperboard;0.97;24.00;75.03
22;Aruba;c14;Paper and paperboard;NA;NA;NA
23;Belize;c14;Paper and paperboard;NA;NA;NA
25;Solomon Islands;c14;Paper and paperboard;NA;NA;NA
26;Brunei Darussalam;c14;Paper and paperboard;NA;NA;NA
27;Bulgaria;c14;Paper and paperboard;0.00;0.31;99.69
28;Myanmar;c14;Paper and paperboard;11.97;30.38;57.65
29;Burundi;c14;Paper and paperboard;NA;NA;NA
32;Cameroon;c14;Paper and paperboard;NA;NA;NA
33;Canada;c14;Paper and paperboard;29.59;30.17;40.24
35;Cabo Verde;c14;Paper and paperboard;NA;NA;NA
37;Central African Republic;c14;Paper and paperboard;NA;NA;NA
38;Sri Lanka;c14;Paper and paperboard;0.00;44.90;55.10
39;Chad;c14;Paper and paperboard;NA;NA;NA
40;Chile;c14;Paper and paperboard;9.41;0.82;89.77
41;China, mainland;c14;Paper and paperboard;1.82;23.53;74.65
42;Christmas Island;c14;Paper and paperboard;NA;NA;NA
44;Colombia;c14;Paper and paperboard;0.00;24.76;75.24
45;Comoros;c14;Paper and paperboard;NA;NA;NA
46;Congo;c14;Paper and paperboard;NA;NA;NA
47;Cook Islands;c14;Paper and paperboard;NA;NA;NA
48;Costa Rica;c14;Paper and paperboard;13.08;31.53;55.39
49;Cuba;c14;Paper and paperboard;0.00;0.00;100.00
50;Cyprus;c14;Paper and paperboard;0.00;0.00;0.00
51;Czechoslovakia;c14;Paper and paperboard;NA;NA;NA
52;Azerbaijan;c14;Paper and paperboard;0.00;0.00;100.00
53;Benin;c14;Paper and paperboard;NA;NA;NA
54;Denmark;c14;Paper and paperboard;0.00;18.42;81.58
55;Dominica;c14;Paper and paperboard;NA;NA;NA
56;Dominican Republic;c14;Paper and paperboard;0.00;7.69;92.31
57;Belarus;c14;Paper and paperboard;11.20;8.89;79.90
58;Ecuador;c14;Paper and paperboard;17.84;0.00;82.16
59;Egypt;c14;Paper and paperboard;0.00;22.39;77.61
60;El Salvador;c14;Paper and paperboard;12.15;1.89;85.95
61;Equatorial Guinea;c14;Paper and paperboard;NA;NA;NA
63;Estonia;c14;Paper and paperboard;0.00;0.53;99.47
64;Faroe Islands;c14;Paper and paperboard;NA;NA;NA
65;Falkland Islands (Malvinas);c14;Paper and paperboard;NA;NA;NA
66;Fiji;c14;Paper and paperboard;NA;NA;NA
67;Finland;c14;Paper and paperboard;2.89;49.48;47.63
68;France;c14;Paper and paperboard;9.40;17.43;73.17
69;French Guyana;c14;Paper and paperboard;NA;NA;NA
70;French Polynesia;c14;Paper and paperboard;NA;NA;NA
72;Djibouti;c14;Paper and paperboard;NA;NA;NA
73;Georgia;c14;Paper and paperboard;0.00;0.00;100.00
74;Gabon;c14;Paper and paperboard;NA;NA;NA
75;Gambia;c14;Paper and paperboard;NA;NA;NA
79;Germany;c14;Paper and paperboard;5.34;29.64;65.02
80;Bosnia and Herzegovina;c14;Paper and paperboard;0.34;0.04;99.63
81;Ghana;c14;Paper and paperboard;NA;NA;NA
82;Gibraltar;c14;Paper and paperboard;NA;NA;NA
83;Kiribati;c14;Paper and paperboard;NA;NA;NA
84;Greece;c14;Paper and paperboard;13.72;2.96;83.32
87;Guadeloupe;c14;Paper and paperboard;NA;NA;NA
89;Guatemala;c14;Paper and paperboard;0.00;6.45;93.55
90;Guinea;c14;Paper and paperboard;NA;NA;NA
91;Guyana;c14;Paper and paperboard;NA;NA;NA
93;Haiti;c14;Paper and paperboard;NA;NA;NA
95;Honduras;c14;Paper and paperboard;0.00;17.33;82.67
96;China, Hong Kong SAR;c14;Paper and paperboard;NA;NA;NA
97;Hungary;c14;Paper and paperboard;0.00;0.71;99.29
98;Croatia;c14;Paper and paperboard;0.00;0.00;100.00
99;Iceland;c14;Paper and paperboard;0.00;0.00;0.00
100;India;c14;Paper and paperboard;6.94;29.62;63.43
101;Indonesia;c14;Paper and paperboard;2.66;39.47;57.86
102;Iran (Islamic Republic of);c14;Paper and paperboard;10.44;7.18;82.38
103;Iraq;c14;Paper and paperboard;0.00;30.77;69.23
104;Ireland;c14;Paper and paperboard;0.00;0.00;100.00
105;Israel;c14;Paper and paperboard;0.00;34.99;65.01
106;Italy;c14;Paper and paperboard;0.00;27.06;72.94
107;Cote d'Ivoire;c14;Paper and paperboard;NA;NA;NA
108;Kazakhstan;c14;Paper and paperboard;0.00;0.00;100.00
109;Jamaica;c14;Paper and paperboard;NA;NA;NA
110;Japan;c14;Paper and paperboard;9.96;30.21;59.84
112;Jordan;c14;Paper and paperboard;0.00;5.93;94.07
113;Kyrgyzstan;c14;Paper and paperboard;0.00;12.50;87.50
114;Kenya;c14;Paper and paperboard;0.00;0.00;0.00
115;Cambodia;c14;Paper and paperboard;0.00;0.00;0.00
116;Democratic People's Republic of Korea;c14;Paper and paperboard;NA;NA;NA
117;Republic of Korea;c14;Paper and paperboard;8.55;23.25;68.20
118;Kuwait;c14;Paper and paperboard;NA;NA;NA
119;Latvia;c14;Paper and paperboard;0.00;0.00;100.00
120;Lao People's Democratic Republic;c14;Paper and paperboard;NA;NA;NA
121;Lebanon;c14;Paper and paperboard;NA;NA;NA
122;Lesotho;c14;Paper and paperboard;NA;NA;NA
123;Liberia;c14;Paper and paperboard;NA;NA;NA
124;Libya;c14;Paper and paperboard;NA;NA;NA
125;Liechtenstein;c14;Paper and paperboard;0.00;0.00;0.00
126;Lithuania;c14;Paper and paperboard;3.20;0.00;96.80
128;China, Macao SAR;c14;Paper and paperboard;NA;NA;NA
129;Madagascar;c14;Paper and paperboard;0.71;0.00;99.29
130;Malawi;c14;Paper and paperboard;NA;NA;NA
131;Malaysia;c14;Paper and paperboard;17.14;8.57;74.29
132;Maldives;c14;Paper and paperboard;NA;NA;NA
133;Mali;c14;Paper and paperboard;NA;NA;NA
134;Malta;c14;Paper and paperboard;0.00;0.00;0.00
135;Martinique;c14;Paper and paperboard;NA;NA;NA
136;Mauritania;c14;Paper and paperboard;NA;NA;NA
137;Mauritius;c14;Paper and paperboard;0.00;0.00;0.00
138;Mexico;c14;Paper and paperboard;1.16;9.89;88.95
141;Mongolia;c14;Paper and paperboard;NA;NA;NA
143;Morocco;c14;Paper and paperboard;0.00;21.79;78.21
144;Mozambique;c14;Paper and paperboard;NA;NA;NA
145;Micronesia (Federated States of);c14;Paper and paperboard;NA;NA;NA
146;Republic of Moldova;c14;Paper and paperboard;0.00;0.00;100.00
147;Namibia;c14;Paper and paperboard;NA;NA;NA
149;Nepal;c14;Paper and paperboard;NA;NA;NA
150;Netherlands;c14;Paper and paperboard;0.00;22.18;77.82
151;Netherlands Antilles;c14;Paper and paperboard;NA;NA;NA
153;New Caledonia;c14;Paper and paperboard;NA;NA;NA
154;North Macedonia;c14;Paper and paperboard;0.00;0.00;100.00
155;Vanuatu;c14;Paper and paperboard;NA;NA;NA
156;New Zealand;c14;Paper and paperboard;20.33;0.00;79.67
157;Nicaragua;c14;Paper and paperboard;NA;NA;NA
158;Niger;c14;Paper and paperboard;NA;NA;NA
159;Nigeria;c14;Paper and paperboard;0.00;5.26;94.74
160;Niue;c14;Paper and paperboard;NA;NA;NA
161;Norfolk Island;c14;Paper and paperboard;NA;NA;NA
162;Norway;c14;Paper and paperboard;43.03;42.77;14.20
165;Pakistan;c14;Paper and paperboard;0.00;27.52;72.48
166;Panama;c14;Paper and paperboard;0.00;0.00;0.00
167;Czechia;c14;Paper and paperboard;0.00;12.01;87.99
168;Papua New Guinea;c14;Paper and paperboard;NA;NA;NA
169;Paraguay;c14;Paper and paperboard;0.00;0.00;100.00
170;Peru;c14;Paper and paperboard;0.00;8.47;91.53
171;Philippines;c14;Paper and paperboard;6.03;10.55;83.42
