area_code,area,proc_code,process,shrinkage
,AFR,p06,Veneer production,4
,ASI,p06,Veneer production,5.375
,EUR,p06,Veneer production,6.76666666666667
,LAM,p06,Veneer production,9.3
,NAM,p06,Veneer production,4
,OCE,p06,Veneer production,5.73708333333333
4,Algeria,p06,Veneer production,4
7,Angola,p06,Veneer production,4
20,Botswana,p06,Veneer production,4
29,Burundi,p06,Veneer production,4
32,Cameroon,p06,Veneer production,4
35,Cabo Verde,p06,Veneer production,4
37,Central African Republic,p06,Veneer production,4
39,Chad,p06,Veneer production,4
45,Comoros,p06,Veneer production,4
46,Congo,p06,Veneer production,4
53,Benin,p06,Veneer production,4
59,Egypt,p06,Veneer production,4
61,Equatorial Guinea,p06,Veneer production,4
72,Djibouti,p06,Veneer production,4
74,Gabon,p06,Veneer production,4
75,Gambia,p06,Veneer production,4
81,Ghana,p06,Veneer production,4
90,Guinea,p06,Veneer production,4
107,Cote d'Ivoire,p06,Veneer production,4
114,Kenya,p06,Veneer production,4
122,Lesotho,p06,Veneer production,4
123,Liberia,p06,Veneer production,4
124,Libya,p06,Veneer production,4
129,Madagascar,p06,Veneer production,4
130,Malawi,p06,Veneer production,4
133,Mali,p06,Veneer production,4
136,Mauritania,p06,Veneer production,4
137,Mauritius,p06,Veneer production,4
143,Morocco,p06,Veneer production,4
144,Mozambique,p06,Veneer production,4
147,Namibia,p06,Veneer production,4
158,Niger,p06,Veneer production,4
159,Nigeria,p06,Veneer production,4
175,Guinea-Bissau,p06,Veneer production,4
178,Eritrea,p06,Veneer production,4
181,Zimbabwe,p06,Veneer production,4
182,Reunion,p06,Veneer production,4
184,Rwanda,p06,Veneer production,4
187,"Saint Helena, Ascension and Tristan da Cunha",p06,Veneer production,4
193,Sao Tome and Principe,p06,Veneer production,4
195,Senegal,p06,Veneer production,4
196,Seychelles,p06,Veneer production,4
197,Sierra Leone,p06,Veneer production,4
201,Somalia,p06,Veneer production,4
202,South Africa,p06,Veneer production,4
205,Western Sahara,p06,Veneer production,4
209,Eswatini,p06,Veneer production,4
215,United Republic of Tanzania,p06,Veneer production,4
217,Togo,p06,Veneer production,4
219,Tonga,p06,Veneer production,4
222,Tunisia,p06,Veneer production,4
226,Uganda,p06,Veneer production,4
233,Burkina Faso,p06,Veneer production,4
238,Ethiopia,p06,Veneer production,4
250,Democratic Republic of the Congo,p06,Veneer production,4
251,Zambia,p06,Veneer production,4
270,Mayotte,p06,Veneer production,4
276,Sudan,p06,Veneer production,4
277,South Sudan,p06,Veneer production,4
1,Armenia,p06,Veneer production,5.375
2,Afghanistan,p06,Veneer production,5.375
13,Bahrain,p06,Veneer production,5.375
16,Bangladesh,p06,Veneer production,5.375
18,Bhutan,p06,Veneer production,5.375
24,British Indian Ocean Territory,p06,Veneer production,5.375
26,Brunei Darussalam,p06,Veneer production,5.375
28,Myanmar,p06,Veneer production,5.375
38,Sri Lanka,p06,Veneer production,5.375
41,"China, mainland",p06,Veneer production,2.75
52,Azerbaijan,p06,Veneer production,5.375
73,Georgia,p06,Veneer production,5.375
96,"China, Hong Kong SAR",p06,Veneer production,5.375
100,India,p06,Veneer production,5.375
101,Indonesia,p06,Veneer production,5.375
102,Iran (Islamic Republic of),p06,Veneer production,5.375
103,Iraq,p06,Veneer production,5.375
105,Israel,p06,Veneer production,5.375
108,Kazakhstan,p06,Veneer production,5.375
110,Japan,p06,Veneer production,5.375
112,Jordan,p06,Veneer production,5.375
113,Kyrgyzstan,p06,Veneer production,5.375
115,Cambodia,p06,Veneer production,5.375
116,Democratic People's Republic of Korea,p06,Veneer production,5.375
117,Republic of Korea,p06,Veneer production,5.375
118,Kuwait,p06,Veneer production,5.375
120,Lao People's Democratic Republic,p06,Veneer production,5.375
121,Lebanon,p06,Veneer production,5.375
128,"China, Macao SAR",p06,Veneer production,5.375
131,Malaysia,p06,Veneer production,8
132,Maldives,p06,Veneer production,5.375
141,Mongolia,p06,Veneer production,5.375
149,Nepal,p06,Veneer production,5.375
164,Pacific Islands Trust Territory,p06,Veneer production,5.375
165,Pakistan,p06,Veneer production,5.375
171,Philippines,p06,Veneer production,5.375
176,Timor-Leste,p06,Veneer production,5.375
179,Qatar,p06,Veneer production,5.375
194,Saudi Arabia,p06,Veneer production,5.375
200,Singapore,p06,Veneer production,5.375
208,Tajikistan,p06,Veneer production,5.375
212,Syrian Arab Republic,p06,Veneer production,5.375
213,Turkmenistan,p06,Veneer production,5.375
214,"China, Taiwan Province of",p06,Veneer production,5.375
216,Thailand,p06,Veneer production,5.375
221,Oman,p06,Veneer production,5.375
225,United Arab Emirates,p06,Veneer production,5.375
228,USSR,p06,Veneer production,5.375
235,Uzbekistan,p06,Veneer production,5.375
237,Viet Nam,p06,Veneer production,5.375
249,Yemen,p06,Veneer production,5.375
299,Palestine,p06,Veneer production,5.375
3,Albania,p06,Veneer production,5.34374999999999
6,Andorra,p06,Veneer production,5.34374999999999
11,Austria,p06,Veneer production,5.34374999999999
15,Belgium-Luxembourg,p06,Veneer production,5.34374999999999
27,Bulgaria,p06,Veneer production,5.34374999999999
50,Cyprus,p06,Veneer production,5.34374999999999
51,Czechoslovakia,p06,Veneer production,5.34374999999999
54,Denmark,p06,Veneer production,5.34374999999999
57,Belarus,p06,Veneer production,5.34374999999999
63,Estonia,p06,Veneer production,5.34374999999999
64,Faroe Islands,p06,Veneer production,5.34374999999999
67,Finland,p06,Veneer production,7.6
68,France,p06,Veneer production,5.34375000000001
79,Germany,p06,Veneer production,5.34375
80,Bosnia and Herzegovina,p06,Veneer production,5.34374999999999
82,Gibraltar,p06,Veneer production,5.34374999999999
84,Greece,p06,Veneer production,5.34374999999999
85,Greenland,p06,Veneer production,5.34374999999999
94,Holy See,p06,Veneer production,5.34374999999999
97,Hungary,p06,Veneer production,5.34374999999999
98,Croatia,p06,Veneer production,5.34374999999999
99,Iceland,p06,Veneer production,5.34374999999999
104,Ireland,p06,Veneer production,5.34374999999999
106,Italy,p06,Veneer production,5.34374999999999
119,Latvia,p06,Veneer production,5.34374999999999
125,Liechtenstein,p06,Veneer production,5.34374999999999
126,Lithuania,p06,Veneer production,6
134,Malta,p06,Veneer production,5.34374999999999
146,Republic of Moldova,p06,Veneer production,5.34374999999999
150,Netherlands,p06,Veneer production,2
154,North Macedonia,p06,Veneer production,5.34374999999999
162,Norway,p06,Veneer production,5.34374999999999
167,Czechia,p06,Veneer production,5.34374999999999
173,Poland,p06,Veneer production,3
174,Portugal,p06,Veneer production,5.34374999999999
183,Romania,p06,Veneer production,5.34374999999999
185,Russian Federation,p06,Veneer production,14
186,Serbia and Montenegro,p06,Veneer production,5.34374999999999
192,San Marino,p06,Veneer production,5.34374999999999
198,Slovenia,p06,Veneer production,8
199,Slovakia,p06,Veneer production,5.34374999999999
203,Spain,p06,Veneer production,5.34374999999999
210,Sweden,p06,Veneer production,5.34374999999999
211,Switzerland,p06,Veneer production,5.34374999999999
223,Turkey,p06,Veneer production,5.34374999999999
229,United Kingdom,p06,Veneer production,5.34374999999999
230,Ukraine,p06,Veneer production,5.34374999999999
248,Yugoslav SFR,p06,Veneer production,5.34374999999999
255,Belgium,p06,Veneer production,5.34374999999999
256,Luxembourg,p06,Veneer production,5.34374999999999
272,Serbia,p06,Veneer production,5.34374999999999
273,Montenegro,p06,Veneer production,5.34374999999999
8,Antigua and Barbuda,p06,Veneer production,9.96666666666666
9,Argentina,p06,Veneer production,9.96666666666666
12,Bahamas,p06,Veneer production,9.96666666666666
14,Barbados,p06,Veneer production,9.96666666666666
17,Bermuda,p06,Veneer production,9.96666666666666
19,Bolivia (Plurinational State of),p06,Veneer production,9.96666666666666
21,Brazil,p06,Veneer production,9.96666666666666
22,Aruba,p06,Veneer production,9.96666666666666
23,Belize,p06,Veneer production,9.96666666666666
36,Cayman Islands,p06,Veneer production,9.96666666666666
40,Chile,p06,Veneer production,9.96666666666665
44,Colombia,p06,Veneer production,9.96666666666666
48,Costa Rica,p06,Veneer production,9.96666666666666
49,Cuba,p06,Veneer production,9.96666666666666
55,Dominica,p06,Veneer production,9.96666666666666
56,Dominican Republic,p06,Veneer production,9.96666666666666
58,Ecuador,p06,Veneer production,9.96666666666666
