proc_code;process;source_code;source;com_code;item;type
p04;Sawnmill industry, coniferous;c01;Industrial roundwood, coniferous;c04;Sawnwood, coniferous;tcf
p05;Sawnmill industry, non-coniferous all;c02;Industrial roundwood, non-coniferous;c05;Sawnwood, non-coniferous all;tcf
p06;Veneer production;c01;Industrial roundwood, coniferous;c06;Veneer sheets;tcf_cnc
p06;Veneer production;c02;Industrial roundwood, non-coniferous;c06;Veneer sheets;tcf_cnc
p07;Plywood production;c01;Industrial roundwood, coniferous;c07;Plywood;tcf_cnc
p07;Plywood production;c02;Industrial roundwood, non-coniferous;c07;Plywood;tcf_cnc
p08;Fibreboard production;c01;Industrial roundwood, coniferous;c08;Fibreboard;optim
p08;Fibreboard production;c02;Industrial roundwood, non-coniferous;c08;Fibreboard;optim
p08;Fibreboard production;c13;Recovered fibre pulp;c08;Fibreboard;optim
p08;Fibreboard production;c17;Wood chips and particles;c08;Fibreboard;optim
p08;Fibreboard production;c18;Wood residues;c08;Fibreboard;optim
p09;Particle board production;c01;Industrial roundwood, coniferous;c09;Particle board;optim
p09;Particle board production;c02;Industrial roundwood, non-coniferous;c09;Particle board;optim
p09;Particle board production;c17;Wood chips and particles;c09;Particle board;optim
p09;Particle board production;c18;Wood residues;c09;Particle board;optim
p10;OSB production;c01;Industrial roundwood, coniferous;c10;OSB;tcf_cnc
p10;OSB production;c02;Industrial roundwood, non-coniferous;c10;OSB;tcf_cnc
p11a;Chemical pulp production;c01;Industrial roundwood, coniferous;c11a;Chemical wood pulp;optim
p11a;Chemical pulp production;c02;Industrial roundwood, non-coniferous;c11a;Chemical wood pulp;optim
p11a;Chemical pulp production;c17;Wood chips and particles;c11a;Chemical wood pulp;optim
p11a;Chemical pulp production;c18;Wood residues;0;c11a;Chemical wood pulp;optim
p11b;Mechanical and semi-chemical pulp production;c01;Industrial roundwood, coniferous;c11b;Mechanical and semi-chemical wood pulp;optim
p11b;Mechanical and semi-chemical pulp production;c02;Industrial roundwood, non-coniferous;c11b;Mechanical and semi-chemical wood pulp;optim
p11b;Mechanical and semi-chemical pulp production;c17;Wood chips and particles;c11b;Mechanical and semi-chemical wood pulp;optim
p11b;Mechanical and semi-chemical pulp production;c18;Wood residues;c11b;Mechanical and semi-chemical wood pulp;optim
p11d;Dissolving pulp production;c01;Industrial roundwood, coniferous;c11d;Dissolving wood pulp;optim
p11d;Dissolving pulp production;c02;Industrial roundwood, non-coniferous;c11d;Dissolving wood pulp;optim
p11d;Dissolving pulp production;c17;Wood chips and particles;c11d;Dissolving wood pulp;optim
p11d;Dissolving pulp production;c18;Wood residues;c11d;Dissolving wood pulp;optim
p13;Recovered pulp production;c12;Recovered paper;c13;Recovered fibre pulp;tcf
p14;Paper and paperboard production;c11a;Chemical wood pulp;c14;Paper and paperboard;100%
p14;Paper and paperboard production;c11b;Mechanical and semi-chemical wood pulp;c14;Paper and paperboard;100%
p14;Paper and paperboard production;c11c;Pulp from fibres other than wood;c14;Paper and paperboard;100%
p14;Paper and paperboard production;c12;Recovered paper;c14;Paper and paperboard;100%
p14;Paper and paperboard production;c13;Recovered fibre pulp;c14;Paper and paperboard;tcf_fill
p15;Pellet production;c03;Wood fuel;c15;Wood pellets and other agglomerates;tcf_pellets
p15;Pellet production;c17;Wood chips and particles;c15;Wood pellets and other agglomerates;tcf_pellets
p15;Pellet production;c18;Wood residues;c15;Wood pellets and other agglomerates;tcf_pellets
p16;Charcoal production;c03;Wood fuel;c16;Wood charcoal;tcf
