code;name;proc_code;process;com_code;item_name;conversion_factor
1;Armenia;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
2;Afghanistan;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
3;Albania;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
4;Algeria;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
6;Andorra;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
7;Angola;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
9;Argentina;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
10;Australia;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
11;Austria;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;60
12;Bahamas;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
13;Bahrain;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
14;Barbados;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
15;Belgium-Luxembourg;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
16;Bangladesh;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
18;Bhutan;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
19;Bolivia (Plurinational State of);p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
20;Botswana;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
21;Brazil;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;45
22;Aruba;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
23;Belize;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
25;Solomon Islands;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
26;Brunei Darussalam;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
27;Bulgaria;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
28;Myanmar;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
29;Burundi;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
32;Cameroon;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
33;Canada;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;45
35;Cabo Verde;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
37;Central African Republic;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
38;Sri Lanka;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
39;Chad;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
40;Chile;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;51
41;China, mainland;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;50
42;Christmas Island;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
44;Colombia;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
45;Comoros;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
46;Congo;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
47;Cook Islands;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
48;Costa Rica;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
49;Cuba;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
50;Cyprus;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
51;Czechoslovakia;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
52;Azerbaijan;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
53;Benin;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
54;Denmark;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;52
55;Dominica;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
56;Dominican Republic;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
57;Belarus;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
58;Ecuador;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
59;Egypt;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
60;El Salvador;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
61;Equatorial Guinea;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
63;Estonia;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
64;Faroe Islands;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
65;Falkland Islands (Malvinas);p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
66;Fiji;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
67;Finland;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;50
68;France;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;55
69;French Guyana;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
70;French Polynesia;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
72;Djibouti;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
73;Georgia;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
74;Gabon;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
75;Gambia;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
79;Germany;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;59
80;Bosnia and Herzegovina;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
81;Ghana;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
82;Gibraltar;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
83;Kiribati;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
84;Greece;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
87;Guadeloupe;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
89;Guatemala;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
90;Guinea;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
91;Guyana;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
93;Haiti;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
95;Honduras;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
96;China, Hong Kong SAR;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
97;Hungary;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
98;Croatia;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
99;Iceland;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
100;India;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
101;Indonesia;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;50
102;Iran (Islamic Republic of);p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
103;Iraq;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
104;Ireland;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;53
105;Israel;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
106;Italy;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
107;Cote d'Ivoire;p04;Sawnmill industry, coniferous;c04;Sawnwood, coniferous;
