area_code,area,com_code,item,recycled_fibre,literature
4,Algeria,c09,Particle board,,Own calculations
7,Angola,c09,Particle board,,Own calculations
20,Botswana,c09,Particle board,,Own calculations
29,Burundi,c09,Particle board,,Own calculations
32,Cameroon,c09,Particle board,,Own calculations
35,Cabo Verde,c09,Particle board,,Own calculations
37,Central African Republic,c09,Particle board,,Own calculations
39,Chad,c09,Particle board,,Own calculations
45,Comoros,c09,Particle board,,Own calculations
46,Congo,c09,Particle board,,Own calculations
53,Benin,c09,Particle board,,Own calculations
59,Egypt,c09,Particle board,,Own calculations
61,Equatorial Guinea,c09,Particle board,,Own calculations
72,Georgia,c09,Particle board,,Own calculations
74,Gambia,c09,Particle board,,Own calculations
75,Germany,c09,Particle board,,Own calculations
81,Gibraltar,c09,Particle board,,Own calculations
90,Guyana,c09,Particle board,,Own calculations
107,Kazakhstan,c09,Particle board,,Own calculations
114,Cambodia,c09,Particle board,,Own calculations
122,Liberia,c09,Particle board,,Own calculations
123,Libya,c09,Particle board,,Own calculations
124,Liechtenstein,c09,Particle board,,Own calculations
129,Malawi,c09,Particle board,,Own calculations
130,Malaysia,c09,Particle board,,Own calculations
133,Malta,c09,Particle board,,Own calculations
136,Mauritius,c09,Particle board,,Own calculations
137,Mexico,c09,Particle board,,Own calculations
143,Mozambique,c09,Particle board,,Own calculations
144,Micronesia (Federated States of),c09,Particle board,,Own calculations
147,Nepal,c09,Particle board,,Own calculations
158,Nigeria,c09,Particle board,,Own calculations
159,Niue,c09,Particle board,,Own calculations
175,Timor-Leste,c09,Particle board,,Own calculations
178,Qatar,c09,Particle board,,Own calculations
181,Reunion,c09,Particle board,,Own calculations
182,Romania,c09,Particle board,,Own calculations
184,Russian Federation,c09,Particle board,,Own calculations
187,"Saint Helena, Ascension and Tristan da Cunha",c09,Particle board,,Own calculations
193,Saudi Arabia,c09,Particle board,,Own calculations
195,Seychelles,c09,Particle board,,Own calculations
196,Sierra Leone,c09,Particle board,,Own calculations
197,Slovenia,c09,Particle board,,Own calculations
201,South Africa,c09,Particle board,,Own calculations
202,Spain,c09,Particle board,30,"Assumption based on Vis, Mantau, Allen (Eds.) (2016) and FAO, ITTO and United Nations (2020)"
205,Western Sahara,c09,Particle board,,Own calculations
209,Switzerland,c09,Particle board,0,"Vis, Mantau, Allen (Eds.) (2016)"
215,Togo,c09,Particle board,,Own calculations
217,Trinidad and Tobago,c09,Particle board,,Own calculations
219,Oman,c09,Particle board,,Own calculations
