continent,area_code,area,com_code,item,wood
AFR,4,Algeria,c08,Fibreboard,83.4333333333333
AFR,7,Angola,c08,Fibreboard,83.4333333333333
AFR,20,Botswana,c08,Fibreboard,83.4333333333333
AFR,29,Burundi,c08,Fibreboard,83.4333333333333
AFR,32,Cameroon,c08,Fibreboard,83.4333333333333
AFR,35,Cabo Verde,c08,Fibreboard,83.4333333333333
AFR,37,Central African Republic,c08,Fibreboard,83.4333333333333
AFR,39,Chad,c08,Fibreboard,83.4333333333333
AFR,45,Comoros,c08,Fibreboard,83.4333333333333
AFR,46,Congo,c08,Fibreboard,83.4333333333333
AFR,53,Benin,c08,Fibreboard,83.4333333333333
AFR,59,Egypt,c08,Fibreboard,83.4333333333333
AFR,61,Equatorial Guinea,c08,Fibreboard,83.4333333333333
AFR,72,Djibouti,c08,Fibreboard,83.4333333333333
AFR,74,Gabon,c08,Fibreboard,83.4333333333333
AFR,75,Gambia,c08,Fibreboard,83.4333333333333
AFR,81,Ghana,c08,Fibreboard,83.4333333333333
AFR,90,Guinea,c08,Fibreboard,83.4333333333333
AFR,107,Cote d'Ivoire,c08,Fibreboard,83.4333333333333
AFR,114,Kenya,c08,Fibreboard,83.4333333333333
AFR,122,Lesotho,c08,Fibreboard,83.4333333333333
AFR,123,Liberia,c08,Fibreboard,83.4333333333333
AFR,124,Libya,c08,Fibreboard,83.4333333333333
AFR,129,Madagascar,c08,Fibreboard,83.4333333333333
AFR,130,Malawi,c08,Fibreboard,83.4333333333333
AFR,133,Mali,c08,Fibreboard,83.4333333333333
AFR,136,Mauritania,c08,Fibreboard,83.4333333333333
AFR,137,Mauritius,c08,Fibreboard,83.4333333333333
AFR,143,Morocco,c08,Fibreboard,83.4333333333333
AFR,144,Mozambique,c08,Fibreboard,83.4333333333333
AFR,147,Namibia,c08,Fibreboard,83.4333333333333
AFR,158,Niger,c08,Fibreboard,83.4333333333333
AFR,159,Nigeria,c08,Fibreboard,83.4333333333333
AFR,175,Guinea-Bissau,c08,Fibreboard,83.4333333333333
AFR,178,Eritrea,c08,Fibreboard,83.4333333333333
AFR,181,Zimbabwe,c08,Fibreboard,83.4333333333333
AFR,182,Reunion,c08,Fibreboard,83.4333333333333
AFR,184,Rwanda,c08,Fibreboard,83.4333333333333
AFR,187,"Saint Helena, Ascension and Tristan da Cunha",c08,Fibreboard,83.4333333333333
AFR,193,Sao Tome and Principe,c08,Fibreboard,83.4333333333333
AFR,195,Senegal,c08,Fibreboard,83.4333333333333
AFR,196,Seychelles,c08,Fibreboard,83.4333333333333
AFR,197,Sierra Leone,c08,Fibreboard,83.4333333333333
AFR,201,Somalia,c08,Fibreboard,83.4333333333333
AFR,202,South Africa,c08,Fibreboard,83.4333333333333
AFR,205,Western Sahara,c08,Fibreboard,83.4333333333333
AFR,209,Eswatini,c08,Fibreboard,83.4333333333333
AFR,215,United Republic of Tanzania,c08,Fibreboard,83.4333333333333
AFR,217,Togo,c08,Fibreboard,83.4333333333333
AFR,219,Tonga,c08,Fibreboard,83.4333333333333
AFR,222,Tunisia,c08,Fibreboard,83.4333333333333
AFR,226,Uganda,c08,Fibreboard,83.4333333333333
AFR,233,Burkina Faso,c08,Fibreboard,83.4333333333333
AFR,238,Ethiopia,c08,Fibreboard,83.4333333333333
AFR,250,Democratic Republic of the Congo,c08,Fibreboard,83.4333333333333
AFR,251,Zambia,c08,Fibreboard,83.4333333333333
AFR,270,Mayotte,c08,Fibreboard,83.4333333333333
AFR,276,Sudan,c08,Fibreboard,83.4333333333333
AFR,277,South Sudan,c08,Fibreboard,83.4333333333333
ASI,1,Armenia,c08,Fibreboard,83.3
ASI,2,Afghanistan,c08,Fibreboard,83.3
ASI,13,Bahrain,c08,Fibreboard,83.3
ASI,16,Bangladesh,c08,Fibreboard,83.3
ASI,18,Bhutan,c08,Fibreboard,83.3
ASI,24,British Indian Ocean Territory,c08,Fibreboard,83.3
ASI,26,Brunei Darussalam,c08,Fibreboard,83.3
ASI,28,Myanmar,c08,Fibreboard,83.3
ASI,38,Sri Lanka,c08,Fibreboard,83.3
ASI,41,"China, mainland",c08,Fibreboard,80
ASI,52,Azerbaijan,c08,Fibreboard,83.3
ASI,73,Georgia,c08,Fibreboard,83.3
ASI,96,"China, Hong Kong SAR",c08,Fibreboard,83.3
ASI,100,India,c08,Fibreboard,83.3
ASI,101,Indonesia,c08,Fibreboard,85
ASI,102,Iran (Islamic Republic of),c08,Fibreboard,83.3
ASI,103,Iraq,c08,Fibreboard,83.3
ASI,105,Israel,c08,Fibreboard,83.3
ASI,108,Kazakhstan,c08,Fibreboard,83.3
ASI,110,Japan,c08,Fibreboard,83.3
ASI,112,Jordan,c08,Fibreboard,83.3
ASI,113,Kyrgyzstan,c08,Fibreboard,83.3
ASI,115,Cambodia,c08,Fibreboard,83.3
ASI,116,Democratic People's Republic of Korea,c08,Fibreboard,83.3
ASI,117,Republic of Korea,c08,Fibreboard,83.3
ASI,118,Kuwait,c08,Fibreboard,83.3
ASI,120,Lao People's Democratic Republic,c08,Fibreboard,83.3
ASI,121,Lebanon,c08,Fibreboard,83.3
ASI,128,"China, Macao SAR",c08,Fibreboard,83.3
ASI,131,Malaysia,c08,Fibreboard,85
ASI,132,Maldives,c08,Fibreboard,83.3
ASI,141,Mongolia,c08,Fibreboard,83.3
ASI,149,Nepal,c08,Fibreboard,83.3
ASI,164,Pacific Islands Trust Territory,c08,Fibreboard,83.3
ASI,165,Pakistan,c08,Fibreboard,83.3
ASI,171,Philippines,c08,Fibreboard,83.3
ASI,176,Timor-Leste,c08,Fibreboard,83.3
ASI,179,Qatar,c08,Fibreboard,83.3
ASI,185,Russian Federation,c08,Fibreboard,83.3
ASI,194,Saudi Arabia,c08,Fibreboard,83.3
ASI,200,Singapore,c08,Fibreboard,83.3
ASI,208,Tajikistan,c08,Fibreboard,83.3
ASI,212,Syrian Arab Republic,c08,Fibreboard,83.3
ASI,213,Turkmenistan,c08,Fibreboard,83.3
ASI,214,"China, Taiwan Province of",c08,Fibreboard,83.3
ASI,216,Thailand,c08,Fibreboard,83.3
ASI,221,Oman,c08,Fibreboard,83.3
ASI,225,United Arab Emirates,c08,Fibreboard,83.3
ASI,228,USSR,c08,Fibreboard,83.3
ASI,235,Uzbekistan,c08,Fibreboard,83.3
ASI,237,Viet Nam,c08,Fibreboard,83.3
ASI,249,Yemen,c08,Fibreboard,83.3
ASI,299,Palestine,c08,Fibreboard,83.3
EUR,3,Albania,c08,Fibreboard,84
EUR,6,Andorra,c08,Fibreboard,84
EUR,11,Austria,c08,Fibreboard,84
EUR,15,Belgium-Luxembourg,c08,Fibreboard,84
EUR,27,Bulgaria,c08,Fibreboard,84
EUR,50,Cyprus,c08,Fibreboard,84
EUR,51,Czechoslovakia,c08,Fibreboard,84
EUR,54,Denmark,c08,Fibreboard,84
EUR,57,Belarus,c08,Fibreboard,84
EUR,63,Estonia,c08,Fibreboard,84
EUR,64,Faroe Islands,c08,Fibreboard,84
EUR,67,Finland,c08,Fibreboard,84
EUR,68,France,c08,Fibreboard,83
EUR,79,Germany,c08,Fibreboard,84
EUR,80,Bosnia and Herzegovina,c08,Fibreboard,84
EUR,82,Gibraltar,c08,Fibreboard,84
EUR,84,Greece,c08,Fibreboard,84
EUR,85,Greenland,c08,Fibreboard,84
EUR,94,Holy See,c08,Fibreboard,84
EUR,97,Hungary,c08,Fibreboard,84
EUR,98,Croatia,c08,Fibreboard,84
EUR,99,Iceland,c08,Fibreboard,84
EUR,104,Ireland,c08,Fibreboard,85
EUR,106,Italy,c08,Fibreboard,84
EUR,119,Latvia,c08,Fibreboard,84
EUR,125,Liechtenstein,c08,Fibreboard,84
EUR,126,Lithuania,c08,Fibreboard,84
EUR,134,Malta,c08,Fibreboard,84
EUR,146,Republic of Moldova,c08,Fibreboard,84
EUR,150,Netherlands,c08,Fibreboard,84
EUR,154,North Macedonia,c08,Fibreboard,84
EUR,162,Norway,c08,Fibreboard,84
EUR,167,Czechia,c08,Fibreboard,84
EUR,173,Poland,c08,Fibreboard,82
