area_code,area,com_code,item,wood,literature
4,Algeria,c08,Fibreboard,84.5555555555556,NA
7,Angola,c08,Fibreboard,84.5555555555556,NA
20,Botswana,c08,Fibreboard,84.5555555555556,NA
29,Burundi,c08,Fibreboard,84.5555555555556,NA
32,Cameroon,c08,Fibreboard,84.5555555555556,NA
35,Cabo Verde,c08,Fibreboard,84.5555555555556,NA
37,Central African Republic,c08,Fibreboard,84.5555555555556,NA
39,Chad,c08,Fibreboard,84.5555555555556,NA
45,Comoros,c08,Fibreboard,84.5555555555556,NA
46,Congo,c08,Fibreboard,84.5555555555556,NA
53,Benin,c08,Fibreboard,84.5555555555556,NA
59,Egypt,c08,Fibreboard,84.5555555555556,NA
61,Equatorial Guinea,c08,Fibreboard,84.5555555555556,NA
72,Djibouti,c08,Fibreboard,84.5555555555556,NA
74,Gabon,c08,Fibreboard,84.5555555555556,NA
75,Gambia,c08,Fibreboard,84.5555555555556,NA
81,Ghana,c08,Fibreboard,84.5555555555556,NA
90,Guinea,c08,Fibreboard,84.5555555555556,NA
107,Cote d'Ivoire,c08,Fibreboard,84.5555555555556,NA
114,Kenya,c08,Fibreboard,84.5555555555556,NA
122,Lesotho,c08,Fibreboard,84.5555555555556,NA
123,Liberia,c08,Fibreboard,84.5555555555556,NA
124,Libya,c08,Fibreboard,84.5555555555556,NA
129,Madagascar,c08,Fibreboard,84.5555555555556,NA
130,Malawi,c08,Fibreboard,84.5555555555556,NA
133,Mali,c08,Fibreboard,84.5555555555556,NA
136,Mauritania,c08,Fibreboard,84.5555555555556,NA
137,Mauritius,c08,Fibreboard,84.5555555555556,NA
143,Morocco,c08,Fibreboard,84.5555555555556,NA
144,Mozambique,c08,Fibreboard,84.5555555555556,NA
147,Namibia,c08,Fibreboard,84.5555555555556,NA
158,Niger,c08,Fibreboard,84.5555555555556,NA
159,Nigeria,c08,Fibreboard,84.5555555555556,NA
175,Guinea-Bissau,c08,Fibreboard,84.5555555555556,NA
178,Eritrea,c08,Fibreboard,84.5555555555556,NA
181,Zimbabwe,c08,Fibreboard,84.5555555555556,NA
182,Reunion,c08,Fibreboard,84.5555555555556,NA
184,Rwanda,c08,Fibreboard,84.5555555555556,NA
187,"Saint Helena, Ascension and Tristan da Cunha",c08,Fibreboard,84.5555555555556,NA
193,Sao Tome and Principe,c08,Fibreboard,84.5555555555556,NA
195,Senegal,c08,Fibreboard,84.5555555555556,NA
196,Seychelles,c08,Fibreboard,84.5555555555556,NA
197,Sierra Leone,c08,Fibreboard,84.5555555555556,NA
201,Somalia,c08,Fibreboard,84.5555555555556,NA
202,South Africa,c08,Fibreboard,84.5555555555556,NA
205,Western Sahara,c08,Fibreboard,84.5555555555556,NA
209,Eswatini,c08,Fibreboard,84.5555555555556,NA
215,United Republic of Tanzania,c08,Fibreboard,84.5555555555556,NA
217,Togo,c08,Fibreboard,84.5555555555556,NA
219,Tonga,c08,Fibreboard,84.5555555555556,NA
222,Tunisia,c08,Fibreboard,84.5555555555556,NA
226,Uganda,c08,Fibreboard,84.5555555555556,NA
233,Burkina Faso,c08,Fibreboard,84.5555555555556,NA
238,Ethiopia,c08,Fibreboard,84.5555555555556,NA
250,Democratic Republic of the Congo,c08,Fibreboard,84.5555555555556,NA
251,Zambia,c08,Fibreboard,84.5555555555556,NA
270,Mayotte,c08,Fibreboard,84.5555555555556,NA
276,Sudan,c08,Fibreboard,84.5555555555556,NA
277,South Sudan,c08,Fibreboard,84.5555555555556,NA
1,Armenia,c08,Fibreboard,85,NA
2,Afghanistan,c08,Fibreboard,85,NA
13,Bahrain,c08,Fibreboard,85,NA
16,Bangladesh,c08,Fibreboard,85,NA
18,Bhutan,c08,Fibreboard,85,NA
24,British Indian Ocean Territory,c08,Fibreboard,85,NA
26,Brunei Darussalam,c08,Fibreboard,85,NA
28,Myanmar,c08,Fibreboard,85,NA
38,Sri Lanka,c08,Fibreboard,85,NA
41,"China, mainland",c08,Fibreboard,85,NA
52,Azerbaijan,c08,Fibreboard,85,NA
73,Georgia,c08,Fibreboard,85,NA
96,"China, Hong Kong SAR",c08,Fibreboard,85,NA
100,India,c08,Fibreboard,85,NA
101,Indonesia,c08,Fibreboard,85,NA
102,Iran (Islamic Republic of),c08,Fibreboard,85,NA
103,Iraq,c08,Fibreboard,85,NA
105,Israel,c08,Fibreboard,85,NA
108,Kazakhstan,c08,Fibreboard,85,NA
110,Japan,c08,Fibreboard,85,NA
112,Jordan,c08,Fibreboard,85,NA
113,Kyrgyzstan,c08,Fibreboard,85,NA
115,Cambodia,c08,Fibreboard,85,NA
116,Democratic People's Republic of Korea,c08,Fibreboard,85,NA
117,Republic of Korea,c08,Fibreboard,85,NA
118,Kuwait,c08,Fibreboard,85,NA
120,Lao People's Democratic Republic,c08,Fibreboard,85,NA
121,Lebanon,c08,Fibreboard,85,NA
128,"China, Macao SAR",c08,Fibreboard,85,NA
131,Malaysia,c08,Fibreboard,85,NA
132,Maldives,c08,Fibreboard,85,NA
141,Mongolia,c08,Fibreboard,85,NA
149,Nepal,c08,Fibreboard,85,NA
164,Pacific Islands Trust Territory,c08,Fibreboard,85,NA
165,Pakistan,c08,Fibreboard,85,NA
171,Philippines,c08,Fibreboard,85,NA
176,Timor-Leste,c08,Fibreboard,85,NA
179,Qatar,c08,Fibreboard,85,NA
194,Saudi Arabia,c08,Fibreboard,85,NA
200,Singapore,c08,Fibreboard,85,NA
208,Tajikistan,c08,Fibreboard,85,NA
212,Syrian Arab Republic,c08,Fibreboard,85,NA
213,Turkmenistan,c08,Fibreboard,85,NA
214,"China, Taiwan Province of",c08,Fibreboard,85,NA
216,Thailand,c08,Fibreboard,85,NA
221,Oman,c08,Fibreboard,85,NA
225,United Arab Emirates,c08,Fibreboard,85,NA
228,USSR,c08,Fibreboard,85,NA
235,Uzbekistan,c08,Fibreboard,85,NA
237,Viet Nam,c08,Fibreboard,85,NA
249,Yemen,c08,Fibreboard,85,NA
299,Palestine,c08,Fibreboard,85,NA
3,Albania,c08,Fibreboard,85.6666666666667,NA
6,Andorra,c08,Fibreboard,85.6666666666667,NA
11,Austria,c08,Fibreboard,85.6666666666667,NA
