area_code;area;com_code;item;c_share;nc_share
1;Armenia;c03;Wood fuel;0.00;1.00
2;Afghanistan;c03;Wood fuel;0.30;0.70
3;Albania;c03;Wood fuel;0.04;0.96
4;Algeria;c03;Wood fuel;0.68;0.32
6;Andorra;c03;Wood fuel;0.00;0.00
7;Angola;c03;Wood fuel;0.00;1.00
9;Argentina;c03;Wood fuel;0.00;1.00
10;Australia;c03;Wood fuel;0.01;0.99
11;Austria;c03;Wood fuel;0.61;0.39
12;Bahamas;c03;Wood fuel;0.00;1.00
13;Bahrain;c03;Wood fuel;0.00;1.00
14;Barbados;c03;Wood fuel;0.00;1.00
15;Belgium-Luxembourg;c03;Wood fuel;NA;NA
16;Bangladesh;c03;Wood fuel;0.00;1.00
18;Bhutan;c03;Wood fuel;0.00;1.00
19;Bolivia (Plurinational State of);c03;Wood fuel;0.00;1.00
20;Botswana;c03;Wood fuel;0.00;1.00
21;Brazil;c03;Wood fuel;0.03;0.97
22;Aruba;c03;Wood fuel;0.00;1.00
23;Belize;c03;Wood fuel;0.00;1.00
25;Solomon Islands;c03;Wood fuel;0.00;1.00
26;Brunei Darussalam;c03;Wood fuel;0.00;1.00
27;Bulgaria;c03;Wood fuel;0.30;0.70
28;Myanmar;c03;Wood fuel;0.00;1.00
29;Burundi;c03;Wood fuel;0.00;1.00
32;Cameroon;c03;Wood fuel;0.00;1.00
33;Canada;c03;Wood fuel;0.45;0.55
35;Cabo Verde;c03;Wood fuel;0.00;1.00
37;Central African Republic;c03;Wood fuel;0.00;1.00
38;Sri Lanka;c03;Wood fuel;0.00;1.00
39;Chad;c03;Wood fuel;0.00;1.00
40;Chile;c03;Wood fuel;0.16;0.84
41;China, mainland;c03;Wood fuel;0.41;0.59
42;Christmas Island;c03;Wood fuel;0.00;1.00
44;Colombia;c03;Wood fuel;0.24;0.76
45;Comoros;c03;Wood fuel;0.00;1.00
46;Congo;c03;Wood fuel;0.00;1.00
47;Cook Islands;c03;Wood fuel;NA;NA
48;Costa Rica;c03;Wood fuel;0.00;1.00
49;Cuba;c03;Wood fuel;0.00;1.00
50;Cyprus;c03;Wood fuel;0.89;0.11
51;Czechoslovakia;c03;Wood fuel;NA;NA
52;Azerbaijan;c03;Wood fuel;0.00;1.00
53;Benin;c03;Wood fuel;0.00;1.00
54;Denmark;c03;Wood fuel;0.66;0.34
55;Dominica;c03;Wood fuel;0.00;1.00
56;Dominican Republic;c03;Wood fuel;0.00;1.00
57;Belarus;c03;Wood fuel;0.79;0.21
58;Ecuador;c03;Wood fuel;0.25;0.75
59;Egypt;c03;Wood fuel;0.00;1.00
60;El Salvador;c03;Wood fuel;0.00;1.00
61;Equatorial Guinea;c03;Wood fuel;0.00;1.00
63;Estonia;c03;Wood fuel;0.35;0.65
64;Faroe Islands;c03;Wood fuel;0.00;0.00
65;Falkland Islands (Malvinas);c03;Wood fuel;1.00;0.00
66;Fiji;c03;Wood fuel;0.00;1.00
67;Finland;c03;Wood fuel;0.46;0.54
68;France;c03;Wood fuel;0.10;0.90
69;French Guyana;c03;Wood fuel;0.00;1.00
70;French Polynesia;c03;Wood fuel;0.00;1.00
72;Djibouti;c03;Wood fuel;0.00;1.00
73;Georgia;c03;Wood fuel;0.20;0.80
74;Gabon;c03;Wood fuel;0.00;1.00
75;Gambia;c03;Wood fuel;0.00;1.00
79;Germany;c03;Wood fuel;0.41;0.59
80;Bosnia and Herzegovina;c03;Wood fuel;0.01;0.99
81;Ghana;c03;Wood fuel;0.00;1.00
82;Gibraltar;c03;Wood fuel;0.00;0.00
83;Kiribati;c03;Wood fuel;0.00;1.00
84;Greece;c03;Wood fuel;0.08;0.92
87;Guadeloupe;c03;Wood fuel;0.00;1.00
89;Guatemala;c03;Wood fuel;0.62;0.38
90;Guinea;c03;Wood fuel;0.00;1.00
91;Guyana;c03;Wood fuel;0.00;1.00
93;Haiti;c03;Wood fuel;0.08;0.92
95;Honduras;c03;Wood fuel;0.33;0.67
96;China, Hong Kong SAR;c03;Wood fuel;0.00;1.00
97;Hungary;c03;Wood fuel;0.04;0.96
98;Croatia;c03;Wood fuel;0.03;0.97
99;Iceland;c03;Wood fuel;0.50;0.50
100;India;c03;Wood fuel;0.03;0.97
101;Indonesia;c03;Wood fuel;0.00;1.00
102;Iran (Islamic Republic of);c03;Wood fuel;0.00;1.00
103;Iraq;c03;Wood fuel;0.00;1.00
104;Ireland;c03;Wood fuel;0.93;0.07
105;Israel;c03;Wood fuel;0.75;0.25
